mu,var_g,var_b,var_h,var_e,h[1],h[2],b[1],g[1],b[2],g[2],yhat[1],yhat[2],yhat[3],yhat[4],yhat[500],yhat[501],yhat[502],yhat[503],yhat[999],yhat[1000],yhat[1001],yhat[1002],yhat[1498],yhat[1499],yhat[1500],yhat[1501],yhat[1997],yhat[1998],yhat[2488],yhat[2489]
116.281906,364.999406,0.444291,598.628863,449.132733,11.865935,26.975994,0.920867,26.487455,-0.189483,25.165533,165.562247,165.562247,151.064982,151.064982,165.562247,165.562247,151.064982,151.064982,165.562247,165.562247,151.064982,151.064982,165.562247,165.562247,151.064982,151.064982,163.311943,163.311943,163.311943,163.311943
117.229623,350.668943,0.463186,564.818760,457.967564,11.154144,26.387128,0.322907,18.580863,-0.038145,17.612209,150.566381,150.566381,145.570504,145.570504,150.566381,150.566381,145.570504,145.570504,150.566381,150.566381,145.570504,145.570504,150.566381,150.566381,145.570504,145.570504,160.222429,160.222429,160.222429,160.222429
117.154435,385.810808,0.472745,1588.726478,457.347478,10.589113,26.975908,0.400664,22.804998,0.038244,15.996349,154.791221,154.791221,144.144872,144.144872,154.791221,154.791221,144.144872,144.144872,154.791221,154.791221,144.144872,144.144872,154.791221,154.791221,144.144872,144.144872,161.158371,161.158371,161.158371,161.158371
117.703919,401.542712,0.459928,697.762510,453.478927,11.071020,27.068851,0.292414,18.349569,-0.030367,18.882038,150.361832,150.361832,147.320784,147.320784,150.361832,150.361832,147.320784,147.320784,150.361832,150.361832,147.320784,147.320784,150.361832,150.361832,147.320784,147.320784,162.832809,162.832809,162.832809,162.832809
118.648716,381.007901,0.428526,1380.750575,461.544079,10.476135,25.982304,0.332398,23.242460,-0.119758,15.536531,155.849556,155.849556,143.406786,143.406786,155.849556,155.849556,143.406786,143.406786,155.849556,155.849556,143.406786,143.406786,155.849556,155.849556,143.406786,143.406786,157.055973,157.055973,157.055973,157.055973
118.572478,396.020141,0.505930,807.409930,463.931168,9.770682,26.351473,0.419901,23.056187,-0.093480,15.604393,155.502065,155.502065,143.034186,143.034186,155.502065,155.502065,143.034186,143.034186,155.502065,155.502065,143.034186,143.034186,155.502065,155.502065,143.034186,143.034186,158.065000,158.065000,158.065000,158.065000
118.326248,373.382010,0.443916,748.690210,453.753421,9.972425,25.590420,0.396142,22.734080,-0.098103,19.638317,154.983253,154.983253,146.958669,146.958669,154.983253,154.983253,146.958669,146.958669,154.983253,154.983253,146.958669,146.958669,154.983253,154.983253,146.958669,146.958669,161.044498,161.044498,161.044498,161.044498
118.332689,378.488190,0.397187,869.809861,462.013195,10.334892,26.151818,0.293686,27.715414,-0.118792,18.714465,159.418211,159.418211,146.154346,146.154346,159.418211,159.418211,146.154346,146.154346,159.418211,159.418211,146.154346,146.154346,159.418211,159.418211,146.154346,146.154346,160.092352,160.092352,160.092352,160.092352
119.658104,407.456574,0.411378,331.349332,446.784666,8.678443,25.835548,0.623294,25.466557,-0.154070,22.521874,159.212328,159.212328,149.521329,149.521329,159.212328,159.212328,149.521329,149.521329,159.212328,159.212328,149.521329,149.521329,159.212328,159.212328,149.521329,149.521329,164.035034,164.035034,164.035034,164.035034
120.136498,377.669431,0.410596,791.782072,460.841385,9.145299,25.409725,0.465049,15.788388,-0.221443,20.220123,149.323195,149.323195,147.476754,147.476754,149.323195,149.323195,147.476754,147.476754,149.323195,149.323195,147.476754,147.476754,149.323195,149.323195,147.476754,147.476754,160.139532,160.139532,160.139532,160.139532
120.637538,377.169596,0.462636,509.000271,471.700522,8.747577,24.719272,0.555866,27.739229,-0.050243,18.529686,161.986826,161.986826,147.475294,147.475294,161.986826,161.986826,147.475294,147.475294,161.986826,161.986826,147.475294,147.475294,161.986826,161.986826,147.475294,147.475294,162.644518,162.644518,162.644518,162.644518
120.578405,368.808446,0.448883,565.645780,461.779627,9.221169,24.672876,0.587076,20.729172,-0.066032,17.356420,155.942274,155.942274,146.547104,146.547104,155.942274,155.942274,146.547104,146.547104,155.942274,155.942274,146.547104,146.547104,155.942274,155.942274,146.547104,146.547104,160.978508,160.978508,160.978508,160.978508
119.963250,377.852255,0.417936,1087.867777,467.111537,9.639898,25.963618,0.400263,25.854490,-0.179522,15.564582,159.316137,159.316137,143.437156,143.437156,159.316137,159.316137,143.437156,143.437156,159.316137,159.316137,143.437156,143.437156,159.316137,159.316137,143.437156,143.437156,156.830408,156.830408,156.830408,156.830408
119.188392,394.395354,0.470277,545.596133,456.678617,9.687471,26.003532,0.322847,21.047236,-0.160691,17.529504,153.050670,153.050670,144.848679,144.848679,153.050670,153.050670,144.848679,144.848679,153.050670,153.050670,144.848679,144.848679,153.050670,153.050670,144.848679,144.848679,158.542897,158.542897,158.542897,158.542897
119.298471,400.508578,0.459700,920.298343,455.255910,10.327948,25.647592,0.295573,23.813016,-0.092967,14.155405,156.492094,156.492094,142.821669,142.821669,156.492094,156.492094,142.821669,142.821669,156.492094,156.492094,142.821669,142.821669,156.492094,156.492094,142.821669,142.821669,156.717097,156.717097,156.717097,156.717097
