#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1523895138 233496758 232335867 0 10006 233496112 232335452 646 10420 92310.31 94111.14 4654.62 4192.95
1523895149 233496802 232336012 0 10006 233496156 232335598 646 10420 92311.97 93998.27 4654.56 4305.73
1523895159 233496858 232336349 0 10006 233496212 232335935 646 10420 92311.91 93945.13 4653.02 4358.87
1523895169 233496917 232336868 0 10006 233496271 232336453 646 10420 92313.16 93919.22 4653.25 4385.75
1523895179 233496975 232337351 0 10006 233496329 232336936 646 10420 92313.23 93876.65 4653.30 4427.35
1523895189 233497035 232337804 0 10006 233496389 232337389 646 10420 92314.00 93885.89 4652.49 4418.11
1523895199 233497092 232338315 0 10006 233496446 232337900 646 10420 92314.36 93814.69 4651.69 4489.92
1523895210 233497151 232338725 0 10006 233496505 232338311 646 10420 92314.59 93838.88 4651.34 4465.72
1523895220 233497212 232339157 0 10006 233496565 232338743 646 10420 92313.67 93820.79 4651.77 4483.21
1523895230 233497271 232339624 0 10006 233496625 232339209 646 10420 92313.89 93795.39 4652.07 4508.61
1523895240 233497329 232340151 0 10006 233496683 232339736 646 10420 92313.23 93699.93 4652.71 4604.07
1523895250 233497390 232340456 0 10006 233496744 232340041 646 10420 92312.91 93754.04 4652.51 4549.96
1523895260 233497448 232341036 0 10006 233496802 232340622 646 10420 92315.81 93652.26 4650.78 4651.74
1523895271 233497507 232341361 0 10006 233496861 232340946 646 10420 92314.27 93730.04 4651.76 4573.96
1523895281 233497565 232341707 0 10006 233496919 232341293 646 10420 92314.82 93699.84 4650.60 4604.76
1523895291 233497626 232342265 0 10006 233496980 232341851 646 10420 92315.87 93474.59 4650.64 4829.41
1523895301 233497687 232342768 0 10006 233497041 232342354 646 10420 92315.36 93568.78 4651.13 4735.22
1523895311 233497746 232343164 0 10006 233497099 232342749 646 10420 92313.73 93556.46 4651.21 4747.54
1523895322 233497804 232343567 0 10006 233497157 232343152 646 10420 92315.67 93545.39 4650.31 4758.61
1523895332 233497862 232343988 0 10006 233497216 232343574 646 10420 92312.92 93528.42 4653.06 4775.58
1523895342 233497920 232344410 0 10006 233497274 232343995 646 10420 92315.89 93519.60 4650.58 4784.40
1523895352 233497982 232344846 0 10006 233497336 232344432 646 10420 92314.23 93506.59 4651.75 4797.41
1523895362 233498040 232345286 0 10006 233497394 232344872 646 10420 92313.43 93497.06 4653.16 4807.51
1523895372 233498098 232345728 0 10006 233497452 232345314 646 10420 92315.03 93490.48 4650.90 4813.52
1523895383 233498159 232346176 0 10006 233497513 232345762 646 10420 92313.96 93482.67 4652.67 4821.33
1523895393 233498219 232346624 0 10006 233497573 232346209 646 10420 92314.76 93478.35 4650.88 4825.65
1523895403 233498278 232347086 0 10006 233497632 232346672 646 10420 92315.88 93468.13 4650.05 4835.87
1523895413 233498337 232347559 0 10006 233497691 232347145 646 10420 92313.80 93455.87 4652.24 4848.73
1523895423 233498397 232348024 0 10006 233497750 232347610 646 10420 92314.12 93454.27 4651.84 4849.73
1523895433 233498454 232348358 0 10006 233497808 232347943 646 10420 92315.72 93298.39 4650.89 5006.22
1523895444 233498515 232348537 0 10006 233497868 232348122 646 10420 92313.76 93569.70 4652.79 4734.90
1523895454 233498574 232349004 0 10006 233497928 232348589 646 10420 92314.56 93580.58 4650.91 4723.42
1523895464 233498634 232349474 0 10006 233497988 232349059 646 10420 92314.59 93587.16 4650.90 4717.45
1523895474 233498690 232349962 0 10006 233498044 232349547 646 10420 92313.36 93431.20 4652.62 4872.80
1523895484 233498750 232350462 0 10006 233498104 232350047 646 10420 92314.56 93420.79 4651.39 4883.21
1523895494 233498809 232350811 0 10006 233498162 232350397 646 10420 92313.04 93256.35 4652.44 5048.26
1523895505 233498869 232350992 0 10006 233498223 232350577 646 10420 92314.49 93548.80 4652.38 4755.20
1523895515 233498929 232351487 0 10006 233498283 232351072 646 10420 92313.57 93400.57 4652.60 4903.43
1523895525 233498988 232352008 0 10006 233498341 232351594 646 10420 92314.45 93389.45 4651.01 4914.67
1523895535 233499047 232352362 0 10006 233498401 232351948 646 10420 92314.74 93226.45 4650.69 5078.16
1523895545 233499105 232352552 0 10006 233498459 232352137 646 10420 92314.84 93525.65 4650.69 4778.95
1523895555 233499164 232353063 0 10006 233498518 232352649 646 10420 92313.76 93534.74 4651.18 4768.77
1523895566 233499223 232353593 0 10006 233498577 232353178 646 10420 92316.45 93371.39 4649.06 4933.21
1523895576 233499282 232353964 0 10006 233498636 232353549 646 10420 92315.36 93199.77 4649.08 5104.84
1523895586 233499342 232354157 0 10006 233498696 232353742 646 10420 92313.91 93513.03 4651.66 4790.48
1523895596 233499403 232354677 0 10006 233498757 232354262 646 10420 92314.38 93529.78 4651.66 4774.82
1523895606 233499463 232355226 0 10006 233498817 232354811 646 10420 92311.45 93354.09 4653.51 4949.91
