#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1518729737 23377452 23493364 1774780 95631 23377035 23488311 1775198 100684 92344.32 93944.86 4620.61 4359.14
1518729747 23377514 23493396 1774780 95631 23377096 23488343 1775198 100684 92343.57 93921.77 4622.38 4382.23
1518729758 23377572 23493428 1774780 95631 23377155 23488375 1775198 100684 92341.19 93899.20 4624.76 4404.80
1518729768 23377633 23493463 1774780 95631 23377216 23488410 1775198 100684 92343.38 93875.12 4622.71 4428.39
1518729778 23377692 23493495 1774780 95631 23377275 23488442 1775198 100684 92339.97 93852.13 4625.05 4451.87
1518729788 23377751 23493527 1774780 95631 23377334 23488474 1775198 100684 92342.51 93830.39 4623.44 4473.61
1518729798 23377811 23493559 1774780 95631 23377393 23488506 1775198 100684 92340.48 93808.23 4624.45 4496.38
1518729808 23377873 23493592 1774780 95631 23377455 23488539 1775198 100684 92341.85 93783.68 4624.08 4520.32
1518729819 23377931 23493624 1774780 95631 23377513 23488571 1775198 100684 92341.29 93761.51 4624.72 4542.49
1518729829 23377991 23493656 1774780 95631 23377573 23488603 1775198 100684 92343.17 93738.84 4621.88 4564.67
1518729839 23378051 23493688 1774780 95631 23377634 23488635 1775198 100684 92342.83 93716.34 4623.78 4588.26
1518729849 23378116 23493718 1774780 95631 23377698 23488665 1775198 100684 92342.32 93694.36 4623.22 4609.64
1518729859 23378173 23493749 1774780 95631 23377756 23488696 1775198 100684 92341.86 93673.62 4623.08 4630.38
1518729869 23378235 23493780 1774780 95631 23377817 23488727 1775198 100684 92341.11 93651.95 4624.40 4652.05
1518729879 23378293 23493812 1774780 95631 23377875 23488759 1775198 100684 92341.46 93630.43 4624.50 4673.57
1518729890 23378351 23493844 1774780 95631 23377933 23488791 1775198 100684 92342.75 93608.51 4623.22 4695.49
1518729900 23378410 23493877 1774780 95631 23377992 23488824 1775198 100684 92342.73 93586.79 4623.77 4717.21
1518729910 23378473 23493908 1774780 95631 23378055 23488855 1775198 100684 92341.48 93566.09 4624.45 4738.52
