RecId,Field-Location,State,Source,Pedigree,Replicate,Plot,Plot length [field],Row Spacing,Plot,Range,Pass,Date Planted,Date Harvested,Anthesis [days],Silking [days],Stand Early [plants],Stand Late [plants],Stand Count [plants],Pollen DAP,Silk DAP,Plant Height [cm],Ear Height [cm],Root Lodging [plants],Stalk lodging [plants],Plot Discarded,Comments
2686018,AZI2,AZ,WISN14/21006,Mo17,1,19,15,30,,66,143,5/23/2015,,,,,,16,,,127,53,0,0,,
2686029,AZI2,AZ,WISN14/13962,PHW52,1,20,15,30,,66,144,5/23/2015,,,,,,17,,,168,86,0,0,,
2686026,AZI2,AZ,WISN14/21129,PHJ40,1,21,15,30,,66,145,5/23/2015,,,,,,17,,,117,58,0,0,,
2686001,AZI2,AZ,WISN14/13901,740,1,22,15,30,,66,146,5/23/2015,,,,,,16,,,102,51,0,0,,
2686027,AZI2,AZ,WISN14/13958,PHN82,1,23,15,30,,66,147,5/23/2015,,,,,,18,,,130,61,0,0,,
2686023,AZI2,AZ,WISN14/21070,PHG39,1,24,15,30,,66,148,5/23/2015,,,,,,17,,,97,53,0,0,,
2686028,AZI2,AZ,WISN14/13960,PHV63,1,25,15,30,,66,149,5/23/2015,,,,,,17,,,102,51,0,0,,
2686032,AZI2,AZ,WISN14/13969,Wf9,1,26,15,30,,66,150,5/23/2015,,,,,,15,,,91,36,0,0,,
2686014,AZI2,AZ,WISN14/13931,LH195,1,27,15,30,,66,151,5/23/2015,,,,,,15,,,91,56,1,0,,
2686007,AZI2,AZ,WISN14/20824,B37,1,28,15,30,,66,152,5/23/2015,,,,,,18,,,91,43,0,0,,
2686016,AZI2,AZ,WISN14/13936,LH74,1,29,15,30,,66,153,5/23/2015,,,,,,17,,,145,69,9,0,,
2686025,AZI2,AZ,WISN14/14018,PHG83,1,30,15,30,,66,154,5/23/2015,,,,,,14,,,142,74,0,0,,
2686009,AZI2,AZ,WISN14/13919,C103,1,31,15,30,,66,155,5/23/2015,,,,,,16,,,142,79,0,0,,
2686002,AZI2,AZ,WISN14/13903,2369,1,32,15,30,,66,156,5/23/2015,,,,,,16,,,152,74,0,0,,
2686058,AZI2,AZ,WISN14/21129,PHJ40,2,1,15,30,,67,141,,,,,,,,,,,,,,,
2686049,AZI2,AZ,WISN14/13937,LH82,2,2,15,30,,67,142,5/23/2015,,,,,,12,,,102,53,0,0,,
2686047,AZI2,AZ,WISN14/23154,LH198,2,3,15,30,,67,143,5/23/2015,,,,,,15,,,102,51,0,0,,
2686051,AZI2,AZ,WISN14/13942,PB80,2,4,15,30,,67,144,5/23/2015,,,,,,16,,,135,64,0,0,,
2686059,AZI2,AZ,WISN14/13958,PHN82,2,5,15,30,,67,145,5/23/2015,,,,,,15,,,127,69,0,0,,
2686052,AZI2,AZ,WISN14/13944,PH207,2,6,15,30,,67,146,5/23/2015,,,,,,18,,,104,56,0,0,,
2686062,AZI2,AZ,WISN14/13965,PHZ51,2,7,15,30,,67,147,5/23/2015,,,,,,16,,,94,51,0,0,,
2686037,AZI2,AZ,WISN14/20818,A634,2,8,15,30,,67,148,5/23/2015,,,,,,19,,,107,51,0,0,,
2686040,AZI2,AZ,WISN14/20830,B73,2,9,15,30,,67,149,5/23/2015,,,,,,14,,,104,53,0,0,,
2686042,AZI2,AZ,WISN14/13921,CM105,2,10,15,30,,67,150,5/23/2015,,,,,,16,,,99,58,1,0,,
2686045,AZI2,AZ,WISN14/13929,LH162,2,11,15,30,,67,151,5/23/2015,,,,,,15,,,102,48,0,0,,
2686048,AZI2,AZ,WISN14/13936,LH74,2,12,15,30,,67,152,5/23/2015,,,,,,18,,,84,28,0,0,,
2686064,AZI2,AZ,WISN14/13969,Wf9,2,13,15,30,,67,153,5/23/2015,,,,,,16,,,119,58,0,0,,
2686054,AZI2,AZ,WISN14/13949,PHG35,2,14,15,30,,67,154,,,,,,,,,,,,,,,
2686046,AZI2,AZ,WISN14/13931,LH195,2,15,15,30,,67,155,5/23/2015,,,,,,15,,,97,46,0,0,,
2686050,AZI2,AZ,WISN14/21006,Mo17,2,16,15,30,,67,156,5/23/2015,,,,,,17,,,102,41,0,0,,
2686035,AZI2,AZ,WISN14/13907,A619,2,17,15,30,,68,141,,,,,,,,,,,,,,,
