TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1518729240 330354 1359760688 746454
1518729250 330804 1360452420 746454
1518729260 330805 1360452420 746454
1518729270 330805 1360452420 746454
1518729281 330805 1360452420 746454
1518729291 330805 1360452420 746454
1518729301 330805 1360452420 746454
1518729311 330805 1360452420 746454
1518729321 330805 1360452420 746454
1518729331 330807 1360452420 746454
1518729341 330807 1360452420 746454
1518729352 330807 1360452420 746454
1518729362 330807 1360452420 746454
1518729372 330807 1360452420 746454
1518729382 330807 1360452420 746454
1518729392 330807 1360452420 746454
1518729402 330807 1360452420 746454
1518729412 330809 1360452420 746454
1518729423 330809 1360452420 746454
1518729433 330809 1360452420 746454
1518729443 330809 1360452420 746454
1518729453 330809 1360452420 746454
1518729463 330809 1360452420 746454
1518729473 330809 1360452420 746454
1518729483 330811 1360452420 746454
1518729494 330811 1360452420 746454
1518729504 330811 1360452420 746454
1518729514 330811 1360452420 746454
1518729524 330811 1360452420 746454
1518729534 330811 1360452420 746454
1518729545 330811 1360452420 746454
1518729555 330811 1360452420 746454
1518729565 330813 1360452420 746454
1518729575 330813 1360452420 746454
1518729585 330813 1360452420 746454
1518729595 330813 1360452420 746454
1518729605 330813 1360452420 746454
1518729616 330817 1360452420 746454
1518729626 330817 1360452420 746454
1518729636 330818 1360452420 746454
1518729646 330818 1360452420 746454
1518729656 330818 1360452420 746454
1518729666 330818 1360452420 746454
1518729676 330818 1360452420 746454
1518729687 330818 1360452420 746454
1518729697 330818 1360452420 746454
1518729707 330820 1360452420 746454
1518729717 330820 1360452420 746454
1518729727 330820 1360452420 746454
1518729737 330820 1360452420 746454
1518729747 330820 1360452420 746454
1518729758 330820 1360452420 746454
1518729768 330820 1360452420 746454
1518729778 330820 1360452420 746454
1518729788 330822 1360452420 746454
1518729798 330822 1360452420 746454
1518729808 330822 1360452420 746454
1518729819 330822 1360452420 746454
1518729829 330822 1360452420 746454
1518729839 330822 1360452420 746454
1518729849 330822 1360452420 746454
1518729859 330824 1360452420 746454
1518729869 330824 1360452420 746454
1518729879 330824 1360452420 746454
1518729890 330824 1360452420 746454
1518729900 330824 1360452420 746454
1518729910 330824 1360452420 746454
1518729920 330824 1360452420 746454
1518729930 330824 1360452420 746454
1518729940 330826 1360452420 746454
1518729950 330826 1360452420 746454
1518729961 330826 1360452420 746454
1518729971 330826 1360452420 746454
1518729981 330826 1360452420 746454
1518729991 330826 1360452420 746454
1518730001 330826 1360452420 746454
1518730011 330828 1360452420 746454
1518730021 330828 1360452420 746454
1518730032 330828 1360452420 746454
1518730042 330828 1360452420 746454
1518730052 330828 1360452420 746454
1518730062 330828 1360452420 746454
1518730072 330828 1360452420 746454
1518730082 330830 1360452420 746454
1518730093 330830 1360452420 746454
1518730103 330830 1360452420 746454
1518730113 330830 1360452420 746454
1518730123 330830 1360452420 746454
1518730133 330830 1360452420 746454
1518730143 330830 1360452420 746454
1518730153 330830 1360452420 746454
1518730164 330832 1360452420 746454
1518730174 330832 1360452420 746454
1518730184 330832 1360452420 746454
1518730194 330832 1360452420 746454
1518730204 330832 1360452420 746454
1518730214 330832 1360452420 746454
1518730224 330832 1360452420 746454
1518730235 330834 1360452420 746454
1518730245 330834 1360452420 746454
1518730255 330834 1360452420 746454
1518730265 330834 1360452420 746454
1518730275 330834 1360452420 746454
1518730285 330834 1360452420 746454
1518730295 330834 1360452420 746454
1518730306 330834 1360452420 746454
1518730316 330836 1360452420 746454
1518730326 330836 1360452420 746454
1518730336 330836 1360452420 746454
1518730346 330836 1360452420 746454
1518730356 330836 1360452420 746454
1518730366 330836 1360452420 746454
1518730377 330836 1360452420 746454
1518730387 330838 1360452420 746454
1518730397 330838 1360452420 746454
1518730407 330838 1360452420 746454
1518730417 330838 1360452420 746454
1518730427 330838 1360452420 746454
1518730437 330838 1360452420 746454
1518730448 330838 1360452420 746454
1518730458 330840 1360452420 746454
1518730468 330840 1360452420 746454
1518730478 330840 1360452420 746454
1518730488 330840 1360452420 746454
1518730498 330840 1360452420 746454
1518730508 330840 1360452420 746454
1518730519 330840 1360452420 746454
1518730529 330840 1360452420 746454
1518730539 330842 1360452420 746454
1518730549 330842 1360452420 746454
1518730559 330842 1360452420 746454
1518730569 330842 1360452420 746454
1518730579 330842 1360452420 746454
1518730590 330842 1360452420 746454
1518730600 330842 1360452420 746454
1518730610 330844 1360452420 746454
1518730620 330844 1360452420 746454
1518730630 330844 1360452420 746454
1518730640 330844 1360452420 746454
1518730650 330844 1360452420 746454
1518730661 330844 1360452420 746454
1518730671 330844 1360452420 746454
1518730681 330844 1360452420 746454
1518730691 330846 1360452420 746454
1518730701 330846 1360452420 746454
1518730711 330846 1360452420 746454
1518730722 330846 1360452420 746454
1518730732 330846 1360452420 746454
1518730742 330846 1360452420 746454
1518730752 330846 1360452420 746454
1518730762 330848 1360452420 746454
1518730772 330849 1360452420 746454
1518730782 330849 1360452420 746454
1518730793 330850 1360452420 746454
1518730803 330851 1360452420 746454
1518730813 330851 1360452420 746454
1518730823 330851 1360452420 746454
1518730833 330852 1360452420 746454
1518730843 330852 1360452420 746454
1518730853 330854 1360452420 746454
1518730864 330854 1360452420 746454
1518730874 330854 1360452420 746454
1518730884 330856 1360452420 746454
1518730894 330856 1360452420 746454
1518730904 330856 1360452420 746454
1518730914 330857 1360452420 746454
1518730924 330857 1360452420 746454
1518730935 330858 1360452420 746454
1518730945 330859 1360452420 746454
1518730955 330859 1360452420 746454
1518730965 330859 1360452420 746454
1518730975 330860 1360452420 746454
1518730985 330862 1360452420 746454
1518730995 330863 1360452420 746454
1518731006 330864 1360452420 746454
1518731016 330864 1360452420 746454
1518731026 330865 1360452420 746454
1518731036 330865 1360452420 746454
1518731046 330866 1360452420 746454
1518731056 330866 1360452420 746454
1518731067 330866 1360452420 746454
1518731077 330867 1360452420 746454
1518731087 330867 1360452420 746454
1518731097 330867 1360452420 746454
1518731107 330867 1360452420 746454
1518731117 330868 1360452420 746454
1518731127 330870 1360452420 746454
1518731138 330870 1360452420 746454
1518731148 330870 1360452420 746454
1518731158 330871 1360452420 746454
1518731168 330871 1360452420 746454
1518731178 330872 1360452420 746454
1518731189 330873 1360452420 746454
1518731199 330874 1360452420 746454
1518731209 330875 1360452420 746454
1518731219 330875 1360452420 746454
1518731229 330875 1360452420 746454
1518731239 330875 1360452420 746454
1518731250 330875 1360452420 746454
1518731260 330875 1360452420 746454
1518731270 330875 1360452420 746454
1518731281 330875 1360452420 746454
1518731291 330877 1360452420 746454
1518731301 330877 1360452420 746454
1518731311 330877 1360452420 746454
1518731321 330877 1360452420 746454
1518731332 330877 1360452420 746454
1518731342 330877 1360452420 746454
1518731352 330877 1360452420 746454
1518731362 330879 1360452420 746454
1518731372 330879 1360452420 746454
1518731383 330879 1360452420 746454
1518731393 330879 1360452420 746454
1518731403 330879 1360452420 746454
