TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1518729240 3476449 1332215022194 758917428770
1518729250 3476455 1332215022194 758917428770
1518729260 3476456 1332215022194 758917428770
1518729270 3476456 1332215022194 758917428770
1518729281 3476456 1332215022194 758917428770
1518729291 3476456 1332215022194 758917428770
1518729301 3476456 1332215022194 758917428770
1518729311 3476456 1332215022194 758917428770
1518729321 3476456 1332215022194 758917428770
1518729331 3476460 1332215022194 758917428770
1518729341 3476460 1332215022194 758917428770
1518729352 3476460 1332215022194 758917428770
1518729362 3476460 1332215022194 758917428770
1518729372 3476460 1332215022194 758917428770
1518729382 3476460 1332215022194 758917428770
1518729392 3476460 1332215022194 758917428770
1518729402 3476460 1332215022194 758917428770
1518729412 3476464 1332215022194 758917428770
1518729423 3476464 1332215022194 758917428770
1518729433 3476464 1332215022194 758917428770
1518729443 3476464 1332215022194 758917428770
1518729453 3476464 1332215022194 758917428770
1518729463 3476464 1332215022194 758917428770
1518729473 3476464 1332215022194 758917428770
1518729483 3476468 1332215022194 758917428770
1518729494 3476468 1332215022194 758917428770
1518729504 3476468 1332215022194 758917428770
1518729514 3476468 1332215022194 758917428770
1518729524 3476468 1332215022194 758917428770
1518729534 3476468 1332215022194 758917428770
1518729545 3476468 1332215022194 758917428770
1518729555 3476468 1332215022194 758917428770
1518729565 3476472 1332215022194 758917428770
1518729575 3476472 1332215022194 758917428770
1518729585 3476472 1332215022194 758917428770
1518729595 3476472 1332215022194 758917428770
1518729605 3476472 1332215022194 758917428770
1518729616 3476472 1332215022194 758917428770
1518729626 3476472 1332215022194 758917428770
1518729636 3476476 1332215022194 758917428770
1518729646 3476476 1332215022194 758917428770
1518729656 3476476 1332215022194 758917428770
1518729666 3476476 1332215022194 758917428770
1518729676 3476476 1332215022194 758917428770
1518729687 3476476 1332215022194 758917428770
1518729697 3476476 1332215022194 758917428770
1518729707 3476480 1332215022194 758917428770
1518729717 3476480 1332215022194 758917428770
1518729727 3476480 1332215022194 758917428770
1518729737 3476480 1332215022194 758917428770
1518729747 3476480 1332215022194 758917428770
1518729758 3476480 1332215022194 758917428770
1518729768 3476480 1332215022194 758917428770
1518729778 3476480 1332215022194 758917428770
1518729788 3476484 1332215022194 758917428770
1518729798 3476484 1332215022194 758917428770
1518729808 3476484 1332215022194 758917428770
1518729819 3476484 1332215022194 758917428770
1518729829 3476484 1332215022194 758917428770
1518729839 3476484 1332215022194 758917428770
1518729849 3476484 1332215022194 758917428770
1518729859 3476488 1332215022194 758917428770
1518729869 3476488 1332215022194 758917428770
