time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1518729240        0                 1737              0                 32209349          33068245          0                 98                774236870052      1233996096705     0                 24032            
1518729250        0                 1737              0                 32210858          33069751          0                 98                774240089210      1234101343401     0                 24032            
1518729260        0                 1737              0                 32210924          33069815          0                 98                774240178320      1234101366681     0                 24032            
1518729271        0                 1737              0                 32210990          33069879          0                 98                774240269766      1234101389097     0                 24032            
1518729281        0                 1737              0                 32211087          33069974          0                 98                774240756105      1234101419057     0                 24032            
1518729291        0                 1737              0                 32211155          33070040          0                 98                774240844039      1234101441689     0                 24032            
1518729301        0                 1737              0                 32211214          33070097          0                 98                774240931973      1234101463745     0                 24032            
1518729311        0                 1737              0                 32211273          33070154          0                 98                774241019907      1234101485801     0                 24032            
1518729321        0                 1737              0                 32211348          33070227          0                 98                774241126859      1234101511257     0                 24032            
1518729331        0                 1737              0                 32212164          33071041          0                 98                774241382794      1234101677761     0                 24032            
1518729341        0                 1737              0                 32212223          33071098          0                 98                774241470729      1234101699817     0                 24032            
1518729352        0                 1737              0                 32212291          33071164          0                 98                774241558664      1234101722449     0                 24032            
1518729362        0                 1737              0                 32212364          33071235          0                 98                774241670088      1234101747417     0                 24032            
1518729372        0                 1737              0                 32212423          33071292          0                 98                774241758023      1234101769473     0                 24032            
1518729382        0                 1737              0                 32212485          33071352          0                 98                774241847054      1234101792553     0                 24032            
1518729392        0                 1737              0                 32212551          33071416          0                 98                774241934989      1234101815057     0                 24032            
1518729402        0                 1737              0                 32212624          33071487          0                 98                774242047365      1234101840025     0                 24032            
1518729412        0                 1737              0                 32213442          33072303          0                 98                774242303300      1234102006657     0                 24032            
1518729423        0                 1737              0                 32213501          33072360          0                 98                774242391235      1234102028713     0                 24032            
1518729433        0                 1737              0                 32213560          33072417          0                 98                774242479170      1234102050769     0                 24032            
1518729443        0                 1737              0                 32213635          33072490          0                 98                774242596594      1234102075865     0                 24032            
1518729453        0                 1737              0                 32213701          33072554          0                 98                774242686733      1234102098657     0                 24032            
1518729463        0                 1737              0                 32213760          33072611          0                 98                774242774668      1234102120713     0                 24032            
1518729473        0                 1737              0                 32213831          33072680          0                 98                774242863699      1234102144369     0                 24032            
1518729484        0                 1737              0                 32214647          33073494          0                 98                774243144411      1234102311993     0                 24032            
1518729494        0                 1737              0                 32214711          33073556          0                 98                774243233986      1234102335009     0                 24032            
1518729504        0                 1737              0                 32214772          33073615          0                 98                774243321921      1234102357193     0                 24032            
1518729514        0                 1737              0                 32214852          33073693          0                 98                774243437202      1234102382985     0                 24032            
1518729524        0                 1737              0                 32214911          33073750          0                 98                774243525137      1234102405041     0                 24032            
