TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1518729240        330354           1359760688        746454           407205            14777744150      3914415981        3476449          1332215022194     758917428770     
1518729250        330804           1360452420        746454           407294            14780636895      3917381304        3476455          1332215022194     758917428770     
1518729260        330805           1360452420        746454           407340            14780647595      3917388940        3476456          1332215022194     758917428770     
1518729270        330805           1360452420        746454           407386            14780658295      3917396576        3476456          1332215022194     758917428770     
1518729281        330805           1360452420        746454           407434            14780668995      3917404212        3476456          1332215022194     758917428770     
1518729291        330805           1360452420        746454           407482            14780679695      3917411848        3476456          1332215022194     758917428770     
1518729301        330805           1360452420        746454           407530            14780690395      3917419484        3476456          1332215022194     758917428770     
1518729311        330805           1360452420        746454           407578            14780701097      3917427121        3476456          1332215022194     758917428770     
1518729321        330805           1360452420        746454           407626            14780711799      3917434758        3476456          1332215022194     758917428770     
1518729331        330807           1360452420        746454           407674            14780722501      3917442395        3476460          1332215022194     758917428770     
1518729341        330807           1360452420        746454           407722            14780733203      3917450032        3476460          1332215022194     758917428770     
1518729352        330807           1360452420        746454           407770            14780743905      3917457669        3476460          1332215022194     758917428770     
1518729362        330807           1360452420        746454           407818            14780754607      3917465306        3476460          1332215022194     758917428770     
1518729372        330807           1360452420        746454           407866            14780765309      3917472943        3476460          1332215022194     758917428770     
1518729382        330807           1360452420        746454           407916            14780776011      3917480580        3476460          1332215022194     758917428770     
1518729392        330807           1360452420        746454           407964            14780786713      3917488217        3476460          1332215022194     758917428770     
1518729402        330807           1360452420        746454           408012            14780797415      3917495854        3476460          1332215022194     758917428770     
1518729412        330809           1360452420        746454           408060            14780808117      3917503491        3476464          1332215022194     758917428770     
1518729423        330809           1360452420        746454           408108            14780818819      3917511139        3476464          1332215022194     758917428770     
1518729433        330809           1360452420        746454           408156            14780829521      3917518776        3476464          1332215022194     758917428770     
1518729443        330809           1360452420        746454           408204            14780840223      3917526413        3476464          1332215022194     758917428770     
1518729453        330809           1360452420        746454           408252            14780850925      3917534050        3476464          1332215022194     758917428770     
1518729463        330809           1360452420        746454           408300            14780861627      3917541687        3476464          1332215022194     758917428770     
1518729473        330809           1360452420        746454           408350            14780872329      3917549324        3476464          1332215022194     758917428770     
1518729483        330811           1360452420        746454           408398            14780883031      3917556961        3476468          1332215022194     758917428770     
1518729494        330811           1360452420        746454           408446            14780893733      3917564598        3476468          1332215022194     758917428770     
1518729504        330811           1360452420        746454           408494            14780904435      3917572235        3476468          1332215022194     758917428770     
1518729514        330811           1360452420        746454           408544            14780915137      3917579872        3476468          1332215022194     758917428770     
1518729524        330811           1360452420        746454           408592            14780925839      3917587509        3476468          1332215022194     758917428770     
1518729534        330811           1360452420        746454           408640            14780936541      3917595146        3476468          1332215022194     758917428770     
1518729545        330811           1360452420        746454           408688            14780947243      3917602783        3476468          1332215022194     758917428770     
1518729555        330811           1360452420        746454           408735            14780957945      3917610420        3476468          1332215022194     758917428770     
1518729565        330813           1360452420        746454           408783            14780968647      3917618057        3476472          1332215022194     758917428770     
1518729575        330813           1360452420        746454           408863            14780979349      3932539214        3476472          1332215022194     758917428770     
1518729585        330813           1360452420        746454           408911            14780990051      3957370303        3476472          1332215022194     758917428770     
1518729595        330813           1360452420        746454           408959            14781000753      3983485270        3476472          1332215022194     758917428770     
1518729605        330813           1360452420        746454           409007            14781011455      4008095349        3476472          1332215022194     758917428770     
1518729616        330817           1360452420        746454           409055            14781022157      4033155052        3476472          1332215022194     758917428770     
1518729626        330817           1360452420        746454           409103            14781032859      4057661707        3476472          1332215022194     758917428770     
1518729636        330818           1360452420        746454           409151            14781043561      4082556657        3476476          1332215022194     758917428770     
1518729646        330818           1360452420        746454           409199            14781054263      4107458460        3476476          1332215022194     758917428770     
1518729656        330818           1360452420        746454           409249            14781064965      4133435065        3476476          1332215022194     758917428770     
1518729666        330818           1360452420        746454           409297            14781075667      4158294055        3476476          1332215022194     758917428770     
1518729676        330818           1360452420        746454           409345            14781086369      4184914364        3476476          1332215022194     758917428770     
1518729687        330818           1360452420        746454           409394            14781097071      4208700436        3476476          1332215022194     758917428770     
1518729697        330818           1360452420        746454           409442            14781107773      4234015674        3476476          1332215022194     758917428770     
1518729707        330820           1360452420        746454           409490            14781118475      4259313743        3476480          1332215022194     758917428770     
1518729717        330820           1360452420        746454           409538            14781129177      4284233045        3476480          1332215022194     758917428770     
1518729727        330820           1360452420        746454           409586            14781139879      4308720822        3476480          1332215022194     758917428770     
1518729737        330820           1360452420        746454           409634            14781150581      4332735974        3476480          1332215022194     758917428770     
1518729747        330820           1360452420        746454           409682            14781161283      4357252912        3476480          1332215022194     758917428770     
1518729758        330820           1360452420        746454           409730            14781171985      4381023910        3476480          1332215022194     758917428770     
1518729768        330820           1360452420        746454           409780            14781182687      4405482501        3476480          1332215022194     758917428770     
1518729778        330820           1360452420        746454           409828            14781193389      4429528038        3476480          1332215022194     758917428770     
1518729788        330822           1360452420        746454           409876            14781204091      4452548807        3476484          1332215022194     758917428770     
1518729798        330822           1360452420        746454           409924            14781214793      4476402119        3476484          1332215022194     758917428770     
1518729808        330822           1360452420        746454           409972            14781225495      4501080762        3476484          1332215022194     758917428770     
1518729819        330822           1360452420        746454           410020            14781236197      4524907674        3476484          1332215022194     758917428770     
1518729829        330822           1360452420        746454           410068            14781246899      4548220622        3476484          1332215022194     758917428770     
1518729839        330822           1360452420        746454           410116            14781257601      4572597954        3476484          1332215022194     758917428770     
1518729849        330822           1360452420        746454           410164            14781268303      4594727303        3476484          1332215022194     758917428770     
1518729859        330824           1360452420        746454           410214            14781279005      4617563743        3476488          1332215022194     758917428770     
1518729869        330824           1360452420        746454           410262            14781289707      4639985388        3476488          1332215022194     758917428770     
1518729879        330824           1360452420        746454           410312            14781300409      4662291157        3476488          1332215022194     758917428770     
1518729890        330824           1360452420        746454           410360            14781311111      4684320254        3476488          1332215022194     758917428770     
1518729900        330824           1360452420        746454           410408            14781321813      4706399371        3476488          1332215022194     758917428770     
1518729910        330824           1360452420        746454           410456            14781332515      4728837456        3476488          1332215022194     758917428770     
1518729920        330824           1360452420        746454           410502            14781343217      4750262442        3476488          1332215022194     758917428770     
1518729930        330824           1360452420        746454           410573            14784228960      4753086055        3476488          1332215022194     758917428770     
1518729940        330826           1360452420        746454           410621            14787262141      4753093692        3476492          1332215022194     758917428770     
1518729950        330826           1360452420        746454           410669            14790565625      4753101329        3476492          1332215022194     758917428770     
1518729961        330826           1360452420        746454           410717            14793762626      4753108966        3476492          1332215022194     758917428770     
1518729971        330826           1360452420        746454           410765            14797041537      4753116603        3476492          1332215022194     758917428770     
1518729981        330826           1360452420        746454           410813            14800320448      4753124240        3476492          1332215022194     758917428770     
1518729991        330826           1360452420        746454           410863            14803607552      4753131878        3476492          1332215022194     758917428770     
1518730001        330826           1360452420        746454           410911            14806878276      4753139517        3476492          1332215022194     758917428770     
1518730011        330828           1360452420        746454           410959            14810042517      4753147156        3476496          1332215022194     758917428770     
1518730021        330828           1360452420        746454           411007            14813272286      4753154794        3476496          1332215022194     758917428770     
1518730032        330828           1360452420        746454           411055            14816510246      4753162433        3476496          1332215022194     758917428770     
1518730042        330828           1360452420        746454           411103            14819690869      4753170072        3476496          1332215022194     758917428770     
1518730052        330828           1360452420        746454           411151            14822863301      4753177711        3476496          1332215022194     758917428770     
1518730062        330828           1360452420        746454           411199            14826052115      4753185350        3476496          1332215022194     758917428770     
1518730072        330828           1360452420        746454           411247            14829265502      4753192989        3476496          1332215022194     758917428770     
1518730082        330830           1360452420        746454           411295            14832429743      4753200628        3476500          1332215022194     758917428770     
