#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1523895138        0.662567          0.662567          0.055496          0.055496          0.000000          182.053000        0.055496         
1523895149        0.852783          0.852783          0.146168          0.146168          0.000000          181.942000        0.146168         
1523895159        0.903522          0.903522          0.196777          0.196777          0.000000          181.892000        0.196777         
1523895169        0.929241          0.929241          0.222614          0.222614          0.000000          181.867000        0.222614         
1523895179        0.970032          0.970032          0.263172          0.263172          0.000000          181.827000        0.263172         
1523895189        0.970032          0.960819          0.263172          0.254017          0.000000          181.836000        0.263172         
1523895199        1.029970          1.029970          0.323296          0.323296          0.000000          181.766000        0.323296         
1523895210        1.029970          1.005460          0.323296          0.298576          0.000000          181.790000        0.323296         
1523895220        1.029970          1.023520          0.323296          0.316929          0.000000          181.773000        0.323296         
1523895230        1.034220          1.034220          0.327690          0.327690          0.000000          181.762000        0.327690         
1523895240        1.141040          1.141040          0.434296          0.434296          0.000000          181.654000        0.434296         
1523895250        1.141040          1.089040          0.434296          0.382195          0.000000          181.707000        0.434296         
1523895260        1.188310          1.188310          0.481461          0.481461          0.000000          181.609000        0.481461         
1523895271        1.188310          1.111970          0.481461          0.405075          0.000000          181.684000        0.481461         
1523895281        1.188310          1.142210          0.481461          0.435471          0.000000          181.656000        0.481461         
1523895291        1.361660          1.361660          0.654938          0.654938          0.000000          181.435000        0.654938         
1523895301        1.361660          1.269870          0.654938          0.563232          0.000000          181.528000        0.654938         
1523895311        1.361660          1.282010          0.654938          0.575123          0.000000          181.516000        0.654938         
1523895321        1.361660          1.292850          0.654938          0.586201          0.000000          181.501000        0.654938         
1523895332        1.361660          1.309400          0.654938          0.602825          0.000000          181.487000        0.654938         
1523895342        1.361660          1.317930          0.654938          0.611286          0.000000          181.479000        0.654938         
1523895352        1.361660          1.331800          0.654938          0.625053          0.000000          181.466000        0.654938         
1523895362        1.361660          1.339980          0.654938          0.633366          0.000000          181.457000        0.654938         
1523895372        1.361660          1.346120          0.654938          0.639275          0.000000          181.450000        0.654938         
1523895382        1.361660          1.353710          0.654938          0.646988          0.000000          181.442000        0.654938         
1523895393        1.361660          1.356980          0.654938          0.650291          0.000000          181.439000        0.654938         
1523895403        1.367280          1.367280          0.660458          0.660458          0.000000          181.430000        0.660458         
1523895413        1.379820          1.379820          0.673073          0.673073          0.000000          181.417000        0.673073         
1523895423        1.380860          1.380860          0.674225          0.674225          0.000000          181.416000        0.674225         
