StationID,Month,Year,temp_mean,temp_median,temp_min,temp_max,Dewpoin_mean,Dewpoin_median,Dewpoin_min,Dewpoin_max,RelativeHumidity_mean,RelativeHumidity_median,RelativeHumidity_min,RelativeHumidity_max,SolarRadiation_mean,SolarRadiation_median,SolarRadiation_min,SolarRadiation_max,Rainfall_mean,Rainfall_median,Rainfall_min,Rainfall_max,WindSpeed_mean,WindSpeed_median,WindSpeed_min,WindSpeed_max,WindGust_mean,WindGust_median,WindGust_min,WindGust_max
9080,7,2014,21.000934139784977,21.0,9.0,32.5,15.552204301075255,15.22,5.94,25.39,74.07103494623652,79.4,32.9,100.0,271.6975806451613,104.0,0,1182,0.04404032258064517,0.0,0.0,8.636,0.5664314516129059,0.45,0.0,4.92,1.9684139784946237,2.0,0,10
9082,5,2014,21.93240131578948,21.67,9.11,32.22,13.068634868421055,14.44,0.56,20.5,61.072697368421075,61.7,19.0,98.3,259.3554817275747,89.0,0,1184,0.03425657894736843,0.0,0.0,8.636,2.337549342105266,2.24,0.0,11.62,4.215460526315789,4.0,0,15
8428,3,2014,24.475833333333338,25.67,19.11,27.72,14.085416666666667,13.94,8.44,17.06,54.07499999999999,46.6,32.3,85.2,296.05882352941177,90.0,0,827,0.0635,0.0,0.0,1.016,3.8562499999999997,3.13,0.0,8.05,5.833333333333333,5.0,0,11
9078,5,2014,18.25168918918917,18.28,6.39,31.0,11.033795045045037,11.72,-1.78,20.17,67.03873873873864,69.7,19.0,99.6,228.36180308422303,45.0,0,1138,0.07494144144144146,0.0,0.0,11.938,0.9482545045045059,0.45,0.0,4.92,2.5574324324324325,2.0,0,9
9079,7,2014,23.78958333333335,23.44,12.28,35.39,18.951276881720446,19.56,10.28,26.06,77.28850806451614,81.8,33.4,100.0,225.56854838709677,49.0,0,1122,0.025842508710801376,0.0,0.0,4.826,0.06400537634408617,0.0,0.0,1.34,0.4099462365591398,0.0,0,5
8654,6,2014,23.339541666666673,23.28,7.5,35.61,16.67071527777778,17.28,2.28,23.56,69.04874999999987,69.8,23.2,99.5,270.8236111111111,95.0,0,1218,0.10054166666666667,0.0,0.0,15.748,1.756493055555543,1.79,0.0,6.71,4.145138888888889,4.0,0,15
8646,7,2014,23.4629791526564,23.94,11.33,36.28,17.40443174176199,16.67,10.0,27.56,72.66001344085998,74.6,32.0,100.0,279.16599462365593,78.0,0,1247,0.039772849462365596,0.0,0.0,14.224,,,,,,,,
8659,7,2014,25.669065232010716,25.33,14.94,34.83,20.97761936785475,21.67,10.67,25.39,77.84744623655898,81.8,33.5,100.0,253.96572580645162,60.0,0,1116,,,,,0.376122311827955,0.0,0.0,2.68,1.648521505376344,1.0,0,7
8428,8,2014,28.755511420059587,27.61,17.72,38.33,22.013614697120172,22.33,12.67,26.67,71.10555555555561,74.1,27.9,100.0,276.5,54.0,0,1176,0.008063492063492064,0.0,0.0,3.302,1.1613888888888897,0.89,0.0,4.92,2.9067460317460316,3.0,0,12
8646,8,2014,24.354865591397846,23.17,12.44,36.72,20.435282258064493,20.89,12.44,27.72,81.74260752688157,90.8,33.0,100.0,227.11424731182797,37.0,0,1086,0.07322983870967745,0.0,0.0,12.446,,,,,,,,
8648,8,2014,21.27948217888368,21.33,8.22,33.17,,,,,77.60490591397839,83.2,32.1,100.0,393.35483870967744,349.0,2,1079,0.08500806451612902,0.0,0.0,23.622,0.27495295698924466,0.0,0.0,3.13,1.3790322580645162,1.0,0,7
8657,9,2014,17.23429166666664,16.78,3.89,33.61,12.863486111111104,11.67,3.89,24.72,80.31534722222207,93.1,25.6,100.0,158.20208333333332,6.0,0,975,0.028574999999999986,0.0,0.0,0.508,0.03361111111111114,0.0,0.0,1.79,0.4388888888888889,0.0,0,5
8427,6,2014,26.336805555555546,25.2,13.1,36.6,21.004930555555543,21.2,12.9,25.3,75.45604166666674,78.9,34.9,100.0,279.3854166666667,69.0,0,1163,0.08465277777777779,0.0,0.0,28.1,0.37798611111110964,0.0,0.0,6.26,2.295138888888889,2.0,0,12
8649,9,2014,16.251160528144553,16.39,0.61,29.56,10.91246699096596,11.0,-0.78,23.33,74.05187499999977,78.8,28.4,100.0,161.67291666666668,9.0,0,913,0.03563055555555553,0.0,0.0,8.89,0.29488888888888537,0.0,0.0,2.24,1.5097222222222222,1.0,0,6
9079,5,2014,19.002600186393273,18.67,5.78,32.17,12.623998136067106,13.06,0.72,21.22,71.13528864059587,76.1,19.0,100.0,255.09869646182494,66.0,0,1164,0.046353817504655496,0.0,0.0,9.398,1.527290502793304,1.34,0.0,5.81,3.3277467411545625,3.0,0,12
9080,9,2014,16.582708333333333,16.22,0.22,33.89,12.057479166666644,12.06,0.22,22.89,78.43541666666651,86.9,29.8,100.0,164.34166666666667,4.0,0,980,0.07778750000000002,0.0,0.0,10.414,0.28824999999999784,0.0,0.0,2.68,1.4,1.0,0,7
