TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1519682625 57301 630240154 1109643255
1519682635 57630 630686056 1109643255
1519682645 57630 630686056 1109643255
1519682655 57630 630686056 1109643255
1519682665 57631 630686056 1109643255
1519682675 57631 630686056 1109643255
1519682685 57631 630686056 1109643255
1519682696 57631 630686056 1109643255
1519682706 57631 630686056 1109643255
1519682716 57631 630686056 1109643255
1519682726 57631 630686056 1109643255
1519682736 57634 630686056 1109643255
1519682746 57635 630686056 1109643255
1519682756 57635 630686056 1109643255
1519682767 57635 630686056 1109643255
1519682777 57635 630686056 1109643255
1519682787 57635 630686056 1109643255
1519682797 57635 630686056 1109643255
1519682807 57635 630686056 1109643255
1519682817 57637 630686056 1109643255
1519682827 57637 630686056 1109643255
1519682838 57637 630686056 1109643255
1519682848 57637 630686056 1109643255
1519682858 57637 630686056 1109643255
1519682868 57637 630686056 1109643255
1519682878 57637 630686056 1109643255
1519682888 57637 630686056 1109643255
1519682899 57639 630686056 1109643255
1519682909 57639 630686056 1109643255
1519682919 57639 630686056 1109643255
1519682929 57639 630686056 1109643255
1519682939 57639 630686056 1109643255
1519682950 57639 630686056 1109643255
1519682960 57639 630686056 1109643255
1519682970 57641 630686056 1109643255
1519682980 57641 630686056 1109643255
1519682990 57641 630686056 1109643255
1519683000 57641 630686056 1109643255
1519683010 57641 630686056 1109643255
1519683021 57641 630686056 1109643255
1519683031 57641 630686056 1109643255
1519683041 57643 630686056 1109643255
1519683051 57643 630686056 1109643255
1519683061 57643 630686056 1109643255
1519683071 57643 630686056 1109643255
1519683082 57643 630686056 1109643255
1519683092 57643 630686056 1109643255
1519683102 57643 630686056 1109643255
1519683112 57643 630686056 1109643255
1519683122 57645 630686056 1109643255
1519683132 57645 630686056 1109643255
1519683142 57645 630686056 1109643255
1519683153 57645 630686056 1109643255
1519683163 57645 630686056 1109643255
1519683173 57645 630686056 1109643255
1519683183 57645 630686056 1109643255
1519683193 57647 630686056 1109643255
1519683203 57648 630686056 1109643255
1519683213 57648 630686056 1109643255
1519683224 57648 630686056 1109643255
1519683235 57648 630686056 1109643255
1519683245 57648 630686056 1109643255
1519683255 57648 630686056 1109643255
1519683266 57649 630686056 1109643255
1519683276 57649 630686056 1109643255
1519683286 57649 630686056 1109643255
1519683296 57649 630686056 1109643255
1519683306 57649 630686056 1109643255
1519683318 57649 630686056 1109643255
1519683328 57649 630686056 1109643255
1519683338 57649 630686056 1109643255
1519683348 57651 630686056 1109643255
1519683358 57651 630686056 1109643255
1519683368 57651 630686056 1109643255
1519683378 57651 630686056 1109643255
1519683389 57651 630686056 1109643255
1519683399 57651 630686056 1109643255
1519683409 57651 630686056 1109643255
1519683419 57653 630686056 1109643255
1519683430 57653 630686056 1109643255
1519683440 57653 630686056 1109643255
1519683450 57653 630686056 1109643255
1519683460 57653 630686056 1109643255
1519683470 57653 630686056 1109643255
1519683480 57653 630686056 1109643255
1519683490 57655 630686056 1109643255
1519683501 57655 630686056 1109643255
1519683511 57655 630686056 1109643255
1519683521 57655 630686056 1109643255
1519683531 57655 630686056 1109643255
1519683541 57655 630686056 1109643255
1519683551 57655 630686056 1109643255
1519683561 57655 630686056 1109643255
1519683572 57657 630686056 1109643255
1519683582 57657 630686056 1109643255
1519683592 57657 630686056 1109643255
1519683602 57657 630686056 1109643255
1519683612 57657 630686056 1109643255
1519683622 57657 630686056 1109643255
1519683633 57657 630686056 1109643255
1519683643 57659 630686056 1109643255
1519683653 57659 630686056 1109643255
1519683663 57659 630686056 1109643255
1519683673 57659 630686056 1109643255
1519683683 57659 630686056 1109643255
1519683693 57659 630686056 1109643255
1519683704 57659 630686056 1109643255
1519683714 57659 630686056 1109643255
1519683724 57661 630686056 1109643255
1519683734 57661 630686056 1109643255
1519683744 57661 630686056 1109643255
1519683754 57661 630686056 1109643255
1519683764 57661 630686056 1109643255
1519683775 57661 630686056 1109643255
1519683785 57661 630686056 1109643255
1519683795 57663 630686056 1109643255
1519683805 57663 630686056 1109643255
1519683815 57663 630686056 1109643255
1519683825 57663 630686056 1109643255
1519683835 57663 630686056 1109643255
1519683846 57663 630686056 1109643255
1519683856 57663 630686056 1109643255
1519683866 57665 630686056 1109643255
1519683876 57665 630686056 1109643255
1519683886 57665 630686056 1109643255
1519683896 57665 630686056 1109643255
1519683907 57665 630686056 1109643255
1519683917 57665 630686056 1109643255
1519683927 57665 630686056 1109643255
1519683937 57665 630686056 1109643255
1519683947 57667 630686056 1109643255
1519683957 57667 630686056 1109643255
1519683968 57667 630686056 1109643255
1519683978 57667 630686056 1109643255
1519683988 57667 630686056 1109643255
1519683998 57667 630686056 1109643255
1519684008 57667 630686056 1109643255
1519684018 57669 630686056 1109643255
1519684029 57669 630686056 1109643255
1519684039 57669 630686056 1109643255
1519684049 57669 630686056 1109643255
1519684059 57669 630686056 1109643255
1519684069 57669 630686056 1109643255
1519684079 57669 630686056 1109643255
1519684089 57669 630686056 1109643255
1519684100 57671 630686056 1109643255
1519684110 57671 630686056 1109643255
1519684120 57671 630686056 1109643255
1519684130 57671 630686056 1109643255
1519684140 57671 630686056 1109643255
1519684150 57671 630686056 1109643255
1519684160 57671 630686056 1109643255
1519684171 57673 630686056 1109643255
1519684181 57673 630686056 1109643255
1519684191 57673 630686056 1109643255
1519684201 57673 630686056 1109643255
1519684211 57673 630686056 1109643255
1519684221 57673 630686056 1109643255
1519684232 57673 630686056 1109643255
1519684242 57675 630686056 1109643255
1519684252 57675 630686056 1109643255
1519684262 57675 630686056 1109643255
1519684272 57675 630686056 1109643255
1519684282 57675 630686056 1109643255
1519684292 57675 630686056 1109643255
1519684303 57675 630686056 1109643255
1519684313 57675 630686056 1109643255
1519684323 57677 630686056 1109643255
1519684333 57677 630686056 1109643255
1519684343 57677 630686056 1109643255
1519684353 57677 630686056 1109643255
1519684363 57677 630686056 1109643255
1519684374 57677 630686056 1109643255
1519684384 57677 630686056 1109643255
1519684394 57679 630686056 1109643255
1519684404 57679 630686056 1109643255
1519684414 57679 630686056 1109643255
1519684424 57679 630686056 1109643255
1519684434 57679 630686056 1109643255
1519684445 57679 630686056 1109643255
1519684455 57679 630686056 1109643255
1519684465 57679 630686056 1109643255
1519684475 57681 630686056 1109643255
1519684486 57681 630686056 1109643255
1519684496 57681 630686056 1109643255
