TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1519682625 1652143 678991768213 1036388426508
1519682635 1652143 678991768213 1036388426508
1519682645 1652145 678991768213 1036388426508
1519682655 1652150 678991768213 1036388426508
1519682665 1652151 678991768213 1036388426508
1519682675 1652152 678991768213 1036388426508
1519682685 1652153 678991768213 1036388426508
1519682696 1652154 678991768213 1036388426508
1519682706 1652155 678991768213 1036388426508
1519682716 1652155 678991768213 1036388426508
1519682726 1652155 678991768213 1036388426508
1519682736 1652156 678991768213 1036388426508
1519682746 1652158 678991768213 1036388426508
1519682756 1652158 678991768213 1036388426508
1519682767 1652159 678991768213 1036388426508
1519682777 1652160 678991768213 1036388426508
1519682787 1652160 678991768213 1036388426508
1519682797 1652161 678991768213 1036388426508
1519682807 1652162 678991768213 1036388426508
1519682817 1652165 678991768213 1036388426508
1519682827 1652165 678991768213 1036388426508
1519682838 1652166 678991768213 1036388426508
1519682848 1652166 678991768213 1036388426508
1519682858 1652166 678991768213 1036388426508
1519682868 1652167 678991768213 1036388426508
1519682878 1652168 678991768213 1036388426508
1519682888 1652168 678991768213 1036388426508
1519682899 1652171 678991768213 1036388426508
1519682909 1652172 678991768213 1036388426508
1519682919 1652172 678991768213 1036388426508
1519682929 1652172 678991768213 1036388426508
1519682939 1652173 678991768213 1036388426508
1519682950 1652174 678991768213 1036388426508
1519682960 1652174 678991768213 1036388426508
1519682970 1652177 678991768213 1036388426508
1519682980 1652178 678991768213 1036388426508
1519682990 1652179 678991768213 1036388426508
1519683000 1652179 678991768213 1036388426508
1519683010 1652180 678991768213 1036388426508
1519683021 1652181 678991768213 1036388426508
1519683031 1652181 678991768213 1036388426508
1519683041 1652184 678991768213 1036388426508
1519683051 1652185 678991768213 1036388426508
1519683061 1652185 678991768213 1036388426508
1519683071 1652185 678991768213 1036388426508
1519683082 1652186 678991768213 1036388426508
1519683092 1652187 678991768213 1036388426508
1519683102 1652187 678991768213 1036388426508
1519683112 1652188 678991768213 1036388426508
1519683122 1652192 678991768213 1036388426508
1519683132 1652192 678991768213 1036388426508
1519683142 1652192 678991768213 1036388426508
1519683153 1652193 678991768213 1036388426508
1519683163 1652194 678991768213 1036388426508
1519683173 1652194 678991768213 1036388426508
1519683183 1652195 678991768213 1036388426508
1519683193 1652199 678991768213 1036388426508
1519683203 1652199 678991768213 1036388426508
1519683213 1652199 678991768213 1036388426508
1519683224 1652200 678991768213 1036388426508
1519683235 1652200 678991768213 1036388426508
1519683245 1652200 678991768213 1036388426508
1519683255 1652201 678991768213 1036388426508
1519683266 1652205 678991768213 1036388426508
1519683276 1652205 678991768213 1036388426508
1519683286 1652206 678991768213 1036388426508
1519683296 1652206 678991768213 1036388426508
1519683306 1652206 678991768213 1036388426508
1519683318 1652206 678991768213 1036388426508
1519683328 1652206 678991768213 1036388426508
1519683338 1652206 678991768213 1036388426508
1519683348 1652209 678991768213 1036388426508
1519683358 1652209 678991768213 1036388426508
1519683368 1652209 678991768213 1036388426508
1519683378 1652210 678991768213 1036388426508
1519683389 1652210 678991768213 1036388426508
1519683399 1652210 678991768213 1036388426508
1519683409 1652211 678991768213 1036388426508
1519683419 1652215 678991768213 1036388426508
1519683430 1652215 678991768213 1036388426508
1519683440 1652216 678991768213 1036388426508
1519683450 1652217 678991768213 1036388426508
1519683460 1652217 678991768213 1036388426508
1519683470 1652217 678991768213 1036388426508
1519683480 1652218 678991768213 1036388426508
1519683490 1652221 678991768213 1036388426508
1519683501 1652221 678991768213 1036388426508
1519683511 1652222 678991768213 1036388426508
1519683521 1652223 678991768213 1036388426508
1519683531 1652223 678991768213 1036388426508
1519683541 1652224 678991768213 1036388426508
1519683551 1652225 678991768213 1036388426508
1519683561 1652225 678991768213 1036388426508
1519683572 1652228 678991768213 1036388426508
1519683582 1652229 678991768213 1036388426508
1519683592 1652230 678991768213 1036388426508
1519683602 1652230 678991768213 1036388426508
1519683612 1652231 678991768213 1036388426508
1519683622 1652232 678991768213 1036388426508
1519683633 1652232 678991768213 1036388426508
1519683643 1652235 678991768213 1036388426508
1519683653 1652236 678991768213 1036388426508
1519683663 1652237 678991768213 1036388426508
1519683673 1652237 678991768213 1036388426508
1519683683 1652237 678991768213 1036388426508
1519683693 1652238 678991768213 1036388426508
1519683704 1652238 678991768213 1036388426508
1519683714 1652238 678991768213 1036388426508
1519683724 1652242 678991768213 1036388426508
1519683734 1652243 678991768213 1036388426508
1519683744 1652243 678991768213 1036388426508
1519683754 1652243 678991768213 1036388426508
1519683764 1652244 678991768213 1036388426508
1519683775 1652245 678991768213 1036388426508
1519683785 1652245 678991768213 1036388426508
1519683795 1652249 678991768213 1036388426508
1519683805 1652250 678991768213 1036388426508
1519683815 1652250 678991768213 1036388426508
1519683825 1652251 678991768213 1036388426508
1519683835 1652252 678991768213 1036388426508
1519683846 1652252 678991768213 1036388426508
1519683856 1652253 678991768213 1036388426508
1519683866 1652257 678991768213 1036388426508
1519683876 1652257 678991768213 1036388426508
1519683886 1652257 678991768213 1036388426508
1519683896 1652258 678991768213 1036388426508
1519683907 1652259 678991768213 1036388426508
1519683917 1652259 678991768213 1036388426508
1519683927 1652260 678991768213 1036388426508
1519683937 1652261 678991768213 1036388426508
1519683947 1652264 678991768213 1036388426508
1519683957 1652264 678991768213 1036388426508
1519683968 1652265 678991768213 1036388426508
1519683978 1652266 678991768213 1036388426508
1519683988 1652266 678991768213 1036388426508
1519683998 1652267 678991768213 1036388426508
1519684008 1652268 678991768213 1036388426508
1519684018 1652271 678991768213 1036388426508
1519684029 1652271 678991768213 1036388426508
1519684039 1652272 678991768213 1036388426508
1519684049 1652272 678991768213 1036388426508
1519684059 1652272 678991768213 1036388426508
1519684069 1652273 678991768213 1036388426508
1519684079 1652274 678991768213 1036388426508
1519684089 1652274 678991768213 1036388426508
1519684100 1652278 678991768213 1036388426508
1519684110 1652279 678991768213 1036388426508
1519684120 1652279 678991768213 1036388426508
1519684130 1652280 678991768213 1036388426508
1519684140 1652281 678991768213 1036388426508
1519684150 1652281 678991768213 1036388426508
1519684160 1652281 678991768213 1036388426508
1519684171 1652285 678991768213 1036388426508
1519684181 1652285 678991768213 1036388426508
1519684191 1652285 678991768213 1036388426508
1519684201 1652286 678991768213 1036388426508
1519684211 1652286 678991768213 1036388426508
1519684221 1652286 678991768213 1036388426508
1519684232 1652287 678991768213 1036388426508
1519684242 1652291 678991768213 1036388426508
1519684252 1652291 678991768213 1036388426508
1519684262 1652291 678991768213 1036388426508
1519684272 1652292 678991768213 1036388426508
1519684282 1652292 678991768213 1036388426508
1519684292 1652292 678991768213 1036388426508
1519684303 1652293 678991768213 1036388426508
1519684313 1652293 678991768213 1036388426508
1519684323 1652296 678991768213 1036388426508
1519684333 1652297 678991768213 1036388426508
1519684343 1652298 678991768213 1036388426508
1519684353 1652298 678991768213 1036388426508
1519684363 1652299 678991768213 1036388426508
1519684374 1652300 678991768213 1036388426508
1519684384 1652300 678991768213 1036388426508
1519684394 1652303 678991768213 1036388426508
1519684404 1652304 678991768213 1036388426508
1519684414 1652304 678991768213 1036388426508
1519684424 1652304 678991768213 1036388426508
1519684434 1652305 678991768213 1036388426508
1519684445 1652305 678991768213 1036388426508
1519684455 1652305 678991768213 1036388426508
1519684465 1652306 678991768213 1036388426508
1519684475 1652310 678991768213 1036388426508
1519684486 1652311 678991768213 1036388426508
1519684496 1652312 678991768213 1036388426508
1519684506 1652312 678991768213 1036388426508
1519684516 1652312 678991768213 1036388426508
1519684526 1652313 678991768213 1036388426508
1519684537 1652313 678991768213 1036388426508
1519684547 1652316 678991768213 1036388426508
1519684557 1652317 678991768213 1036388426508
1519684567 1652318 678991768213 1036388426508
1519684577 1652318 678991768213 1036388426508
1519684587 1652319 678991768213 1036388426508
1519684597 1652320 678991768213 1036388426508
1519684608 1652320 678991768213 1036388426508
1519684618 1652324 678991768213 1036388426508
1519684628 1652325 678991768213 1036388426508
1519684638 1652325 678991768213 1036388426508
1519684648 1652325 678991768213 1036388426508
1519684659 1652326 678991768213 1036388426508
1519684669 1652326 678991768213 1036388426508
1519684679 1652326 678991768213 1036388426508
1519684689 1652327 678991768213 1036388426508
1519684699 1652331 678991768213 1036388426508
1519684709 1652331 678991768213 1036388426508
1519684719 1652331 678991768213 1036388426508
1519684730 1652332 678991768213 1036388426508
1519684740 1652332 678991768213 1036388426508
1519684750 1652332 678991768213 1036388426508
1519684760 1652333 678991768213 1036388426508
1519684770 1652337 678991768213 1036388426508
1519684780 1652337 678991768213 1036388426508
1519684791 1652338 678991768213 1036388426508
1519684801 1652339 678991768213 1036388426508
1519684811 1652339 678991768213 1036388426508
1519684821 1652339 678991768213 1036388426508
1519684831 1652340 678991768213 1036388426508
1519684841 1652343 678991768213 1036388426508
1519684851 1652343 678991768213 1036388426508
1519684862 1652344 678991768213 1036388426508
1519684872 1652345 678991768213 1036388426508
1519684882 1652345 678991768213 1036388426508
1519684892 1652346 678991768213 1036388426508
1519684902 1652347 678991768213 1036388426508
1519684913 1652347 678991768213 1036388426508
1519684923 1652350 678991768213 1036388426508
1519684933 1652351 678991768213 1036388426508
1519684943 1652351 678991768213 1036388426508
1519684953 1652351 678991768213 1036388426508
1519684963 1652352 678991768213 1036388426508
1519684973 1652352 678991768213 1036388426508
1519684984 1652352 678991768213 1036388426508
1519684994 1652356 678991768213 1036388426508
1519685004 1652357 678991768213 1036388426508
1519685014 1652357 678991768213 1036388426508
1519685024 1652358 678991768213 1036388426508
1519685034 1652359 678991768213 1036388426508
1519685045 1652359 678991768213 1036388426508
1519685055 1652359 678991768213 1036388426508
1519685065 1652360 678991768213 1036388426508
1519685075 1652363 678991768213 1036388426508
1519685085 1652364 678991768213 1036388426508
1519685095 1652365 678991768213 1036388426508
1519685106 1652365 678991768213 1036388426508
1519685116 1652366 678991768213 1036388426508
1519685126 1652367 678991768213 1036388426508
1519685136 1652367 678991768213 1036388426508
1519685146 1652371 678991768213 1036388426508
1519685157 1652372 678991768213 1036388426508
1519685167 1652372 678991768213 1036388426508
1519685177 1652372 678991768213 1036388426508
1519685188 1652373 678991768213 1036388426508
1519685198 1652373 678991768213 1036388426508
1519685208 1652373 678991768213 1036388426508
1519685218 1652377 678991768213 1036388426508
1519685228 1652378 678991768213 1036388426508
1519685238 1652378 678991768213 1036388426508
1519685249 1652379 678991768213 1036388426508
1519685259 1652380 678991768213 1036388426508
1519685269 1652380 678991768213 1036388426508
1519685279 1652381 678991768213 1036388426508
1519685289 1652382 678991768213 1036388426508
1519685299 1652385 678991768213 1036388426508
1519685309 1652386 678991768213 1036388426508
1519685320 1652387 678991768213 1036388426508
1519685330 1652387 678991768213 1036388426508
1519685340 1652387 678991768213 1036388426508
1519685351 1652388 678991768213 1036388426508
1519685361 1652388 678991768213 1036388426508
1519685371 1652391 678991768213 1036388426508
1519685381 1652392 678991768213 1036388426508
1519685391 1652393 678991768213 1036388426508
1519685401 1652393 678991768213 1036388426508
1519685412 1652394 678991768213 1036388426508
1519685422 1652395 678991768213 1036388426508
