TIMESTAMP        spur-RQ          spur-RD          spur-WR          
1519682625 6848 0 0
1519682635 6848 0 0
1519682645 6848 0 0
1519682655 6848 0 0
1519682665 6848 0 0
1519682675 6848 0 0
1519682685 6848 0 0
1519682696 6848 0 0
1519682706 6848 0 0
1519682716 6848 0 0
1519682726 6848 0 0
1519682736 6848 0 0
1519682746 6850 0 0
1519682756 6850 0 0
1519682767 6850 0 0
1519682777 6850 0 0
1519682787 6850 0 0
1519682797 6850 0 0
1519682807 6850 0 0
1519682817 6852 0 0
1519682827 6852 0 0
1519682838 6852 0 0
1519682848 6852 0 0
1519682858 6852 0 0
1519682868 6852 0 0
1519682878 6852 0 0
1519682888 6852 0 0
1519682899 6854 0 0
1519682909 6854 0 0
1519682919 6854 0 0
1519682929 6854 0 0
1519682939 6854 0 0
1519682950 6854 0 0
1519682960 6854 0 0
1519682970 6856 0 0
1519682980 6856 0 0
1519682990 6856 0 0
1519683000 6856 0 0
1519683010 6856 0 0
1519683021 6856 0 0
1519683031 6856 0 0
1519683041 6858 0 0
1519683051 6858 0 0
1519683061 6858 0 0
1519683071 6858 0 0
1519683082 6858 0 0
1519683092 6858 0 0
1519683102 6858 0 0
1519683112 6858 0 0
1519683122 6860 0 0
1519683132 6860 0 0
1519683142 6860 0 0
1519683153 6860 0 0
1519683163 6860 0 0
1519683173 6860 0 0
1519683183 6860 0 0
1519683193 6862 0 0
1519683203 6862 0 0
1519683213 6862 0 0
1519683224 6862 0 0
1519683235 6862 0 0
1519683245 6862 0 0
1519683255 6862 0 0
1519683266 6864 0 0
1519683276 6864 0 0
1519683286 6864 0 0
1519683296 6864 0 0
1519683306 6864 0 0
1519683318 6864 0 0
1519683328 6864 0 0
1519683338 6864 0 0
1519683348 6866 0 0
1519683358 6866 0 0
1519683368 6866 0 0
1519683378 6866 0 0
1519683389 6866 0 0
1519683399 6866 0 0
1519683409 6866 0 0
1519683419 6868 0 0
1519683430 6868 0 0
1519683440 6868 0 0
1519683450 6868 0 0
1519683460 6868 0 0
1519683470 6868 0 0
1519683480 6868 0 0
1519683490 6870 0 0
1519683501 6870 0 0
1519683511 6870 0 0
1519683521 6870 0 0
1519683531 6870 0 0
1519683541 6870 0 0
1519683551 6870 0 0
1519683561 6870 0 0
1519683572 6872 0 0
1519683582 6872 0 0
1519683592 6872 0 0
1519683602 6872 0 0
1519683612 6872 0 0
1519683622 6872 0 0
1519683633 6872 0 0
1519683643 6874 0 0
1519683653 6874 0 0
1519683663 6874 0 0
1519683673 6874 0 0
1519683683 6874 0 0
1519683693 6874 0 0
1519683704 6874 0 0
1519683714 6874 0 0
1519683724 6876 0 0
1519683734 6876 0 0
1519683744 6876 0 0
1519683754 6876 0 0
1519683764 6876 0 0
1519683775 6876 0 0
1519683785 6876 0 0
1519683795 6878 0 0
1519683805 6878 0 0
1519683815 6878 0 0
1519683825 6878 0 0
1519683835 6878 0 0
1519683846 6878 0 0
1519683856 6878 0 0
1519683866 6880 0 0
1519683876 6880 0 0
1519683886 6880 0 0
1519683896 6880 0 0
1519683907 6880 0 0
1519683917 6880 0 0
1519683927 6880 0 0
1519683937 6880 0 0
1519683947 6882 0 0
1519683957 6882 0 0
1519683968 6882 0 0
1519683978 6882 0 0
1519683988 6882 0 0
1519683998 6882 0 0
1519684008 6882 0 0
1519684018 6884 0 0
1519684029 6884 0 0
1519684039 6884 0 0
1519684049 6884 0 0
1519684059 6884 0 0
1519684069 6884 0 0
1519684079 6884 0 0
1519684089 6884 0 0
1519684100 6886 0 0
1519684110 6886 0 0
1519684120 6886 0 0
1519684130 6886 0 0
1519684140 6886 0 0
1519684150 6886 0 0
1519684160 6886 0 0
1519684171 6888 0 0
1519684181 6888 0 0
1519684191 6888 0 0
1519684201 6888 0 0
1519684211 6888 0 0
1519684221 6888 0 0
1519684232 6888 0 0
1519684242 6890 0 0
1519684252 6890 0 0
1519684262 6890 0 0
1519684272 6890 0 0
1519684282 6890 0 0
1519684292 6890 0 0
1519684303 6890 0 0
1519684313 6890 0 0
1519684323 6892 0 0
1519684333 6892 0 0
1519684343 6892 0 0
1519684353 6892 0 0
1519684363 6892 0 0
1519684374 6892 0 0
1519684384 6892 0 0
1519684394 6894 0 0
1519684404 6894 0 0
1519684414 6894 0 0
1519684424 6894 0 0
1519684434 6894 0 0
1519684445 6894 0 0
1519684455 6894 0 0
1519684465 6894 0 0
1519684475 6896 0 0
1519684486 6896 0 0
1519684496 6896 0 0
1519684506 6896 0 0
1519684516 6896 0 0
1519684526 6896 0 0
1519684537 6896 0 0
1519684547 6898 0 0
1519684557 6898 0 0
1519684567 6898 0 0
1519684577 6898 0 0
1519684587 6898 0 0
1519684597 6898 0 0
1519684608 6898 0 0
1519684618 6900 0 0
1519684628 6900 0 0
1519684638 6900 0 0
1519684648 6900 0 0
1519684659 6900 0 0
1519684669 6900 0 0
1519684679 6900 0 0
1519684689 6900 0 0
1519684699 6902 0 0
1519684709 6902 0 0
1519684719 6902 0 0
1519684730 6902 0 0
1519684740 6902 0 0
1519684750 6902 0 0
1519684760 6902 0 0
1519684770 6904 0 0
1519684780 6904 0 0
1519684791 6904 0 0
1519684801 6904 0 0
1519684811 6904 0 0
1519684821 6904 0 0
1519684831 6904 0 0
1519684841 6906 0 0
1519684851 6906 0 0
1519684862 6906 0 0
1519684872 6906 0 0
1519684882 6906 0 0
1519684892 6906 0 0
1519684902 6906 0 0
1519684913 6906 0 0
1519684923 6908 0 0
1519684933 6908 0 0
1519684943 6908 0 0
1519684953 6908 0 0
1519684963 6908 0 0
1519684973 6908 0 0
1519684984 6908 0 0
1519684994 6910 0 0
1519685004 6910 0 0
1519685014 6910 0 0
1519685024 6910 0 0
1519685034 6910 0 0
1519685045 6910 0 0
1519685055 6910 0 0
1519685065 6910 0 0
1519685075 6912 0 0
1519685085 6912 0 0
1519685095 6912 0 0
1519685106 6912 0 0
1519685116 6912 0 0
1519685126 6912 0 0
1519685136 6912 0 0
1519685146 6914 0 0
1519685157 6914 0 0
1519685167 6914 0 0
1519685177 6914 0 0
1519685188 6914 0 0
1519685198 6914 0 0
1519685208 6914 0 0
1519685218 6916 0 0
1519685228 6916 0 0
1519685238 6916 0 0
1519685249 6916 0 0
1519685259 6916 0 0
1519685269 6916 0 0
1519685279 6916 0 0
1519685289 6916 0 0
1519685299 6918 0 0
1519685309 6918 0 0
1519685320 6918 0 0
1519685330 6918 0 0
1519685340 6918 0 0
1519685351 6918 0 0
1519685361 6918 0 0
1519685371 6920 0 0
1519685381 6920 0 0
1519685391 6920 0 0
1519685401 6920 0 0
1519685412 6920 0 0
1519685422 6920 0 0
1519685432 6920 0 0
1519685442 6922 0 0
1519685452 6922 0 0
1519685463 6922 0 0
1519685473 6922 0 0
1519685483 6922 0 0
1519685493 6922 0 0
1519685503 6922 0 0
1519685514 6922 0 0
1519685524 6924 0 0
1519685534 6924 0 0
1519685544 6924 0 0
1519685554 6924 0 0
1519685564 6924 0 0
1519685574 6924 0 0
1519685585 6924 0 0
1519685595 6926 0 0
1519685605 6926 0 0
1519685616 6926 0 0
1519685626 6926 0 0
1519685637 6926 0 0
1519685647 6926 0 0
1519685657 6926 0 0
1519685667 6928 0 0
1519685677 6928 0 0
1519685687 6928 0 0
1519685698 6928 0 0
1519685708 6928 0 0
1519685718 6928 0 0
1519685729 6928 0 0
1519685739 6928 0 0
1519685749 6930 0 0
1519685759 6930 0 0
1519685769 6930 0 0
1519685779 6930 0 0
1519685789 6930 0 0
1519685800 6930 0 0
1519685810 6930 0 0
1519685820 6932 0 0
1519685830 6932 0 0
1519685841 6932 0 0
