time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1519683235        0                 2509              0                 14510486          15454830          0                 1                 1052570968142     765944609579      0                 192              
1519683245        0                 2509              0                 14510591          15454933          0                 1                 1052571886760     765944641203      0                 192              
1519683255        0                 2509              0                 14510665          15455005          0                 1                 1052571993633     765944666363      0                 192              
1519683266        0                 2509              0                 14511498          15455836          0                 1                 1052572278447     765944837283      0                 192              
1519683276        0                 2509              0                 14511569          15455905          0                 1                 1052572383638     765944861835      0                 192              
1519683286        0                 2509              0                 14511659          15455993          0                 1                 1052572493442     765944888019      0                 192              
1519683296        0                 2509              0                 14511732          15456064          0                 1                 1052572605263     765944912987      0                 192              
1519683307        0                 2509              0                 14511805          15456135          0                 1                 1052572711237     765944937955      0                 192              
1519683318        0                 2509              0                 14511880          15456208          0                 1                 1052572824875     765944963339      0                 192              
1519683328        0                 2509              0                 14511951          15456277          0                 1                 1052572930220     765944987891      0                 192              
1519683338        0                 2509              0                 14512024          15456348          0                 1                 1052573039133     765945012859      0                 192              
1519683348        0                 2509              0                 14512870          15457192          0                 1                 1052573319959     765945184195      0                 192              
1519683358        0                 2509              0                 14512943          15457263          0                 1                 1052573433562     765945209163      0                 192              
1519683368        0                 2509              0                 14513016          15457334          0                 1                 1052573545414     765945234131      0                 192              
1519683378        0                 2509              0                 14513090          15457406          0                 1                 1052573659948     765945259291      0                 192              
1519683389        0                 2509              0                 14513163          15457477          0                 1                 1052573772395     765945284259      0                 192              
1519683399        0                 2509              0                 14513236          15457548          0                 1                 1052573878995     765945309227      0                 192              
1519683409        0                 2509              0                 14513326          15457636          0                 1                 1052573988276     765945335411      0                 192              
1519683419        0                 2509              0                 14514157          15458465          0                 1                 1052574265366     765945505915      0                 192              
1519683430        0                 2509              0                 14514234          15458540          0                 1                 1052574386126     765945531715      0                 192              
1519683440        0                 2509              0                 14514304          15458608          0                 1                 1052574487125     765945556043      0                 192              
1519683450        0                 2509              0                 14514378          15458680          0                 1                 1052574597586     765945581203      0                 192              
1519683460        0                 2509              0                 14514451          15458751          0                 1                 1052574710064     765945606171      0                 192              
1519683470        0                 2509              0                 14514540          15458838          0                 1                 1052574820791     765945632163      0                 192              
1519683480        0                 2509              0                 14514614          15458910          0                 1                 1052574926015     765945657323      0                 192              
1519683491        0                 2509              0                 14515445          15459739          0                 1                 1052575203032     765945827827      0                 192              
1519683501        0                 2509              0                 14515520          15459812          0                 1                 1052575307967     765945853211      0                 192              
1519683511        0                 2509              0                 14515596          15459886          0                 1                 1052575413028     765945878755      0                 192              
1519683521        0                 2509              0                 14515684          15459972          0                 1                 1052575519752     765945904939      0                 192              
1519683531        0                 2509              0                 14515760          15460046          0                 1                 1052575624069     765945930099      0                 192              
1519683541        0                 2509              0                 14515835          15460119          0                 1                 1052575731387     765945955451      0                 192              
1519683551        0                 2509              0                 14515909          15460191          0                 1                 1052575840730     765945980611      0                 192              
1519683562        0                 2509              0                 14515982          15460262          0                 1                 1052575947986     765946005579      0                 192              
1519683572        0                 2509              0                 14516817          15461095          0                 1                 1052576228275     765946176851      0                 192              
1519683582        0                 2509              0                 14516904          15461180          0                 1                 1052576340557     765946202843      0                 192              
1519683592        0                 2509              0                 14516981          15461255          0                 1                 1052576446984     765946228195      0                 192              
1519683602        0                 2509              0                 14517054          15461326          0                 1                 1052576555428     765946253163      0                 192              
1519683612        0                 2509              0                 14517128          15461398          0                 1                 1052576662449     765946278323      0                 192              
1519683622        0                 2509              0                 14517202          15461470          0                 1                 1052576771823     765946303483      0                 192              
1519683633        0                 2509              0                 14517275          15461541          0                 1                 1052576883206     765946328451      0                 192              
1519683643        0                 2509              0                 14518121          15462385          0                 1                 1052577158310     765946499787      0                 192              
