TIMESTAMP        work-RQ          work-RD          work-WR          
10.000000         8.800000          0.303678          0.313484         
20.000000         4.800000          0.001070          0.000769         
30.000000         4.800000          0.001070          0.000769         
40.000000         4.800000          0.001070          0.000769         
50.000000         4.800000          0.001070          0.000769         
60.000000         5.000000          0.001070          0.000769         
71.000000         4.363636          0.000972          0.000699         
81.000000         4.800000          0.001070          0.000769         
91.000000         4.800000          0.001070          0.000769         
101.000000        5.600000          0.001070          0.000769         
111.000000        4.800000          0.001070          0.000769         
121.000000        5.000000          0.001070          0.000769         
131.000000        4.800000          0.001070          0.000769         
142.000000        4.545454          0.000972          0.000699         
152.000000        4.800000          0.001070          0.000769         
162.000000        4.800000          0.001070          0.000769         
172.000000        4.800000          0.001070          0.000770         
182.000000        4.800000          0.001070          0.000769         
192.000000        4.800000          0.001070          0.000769         
202.000000        4.800000          0.001070          0.000769         
213.000000        4.363636          0.000972          0.000699         
223.000000        4.800000          0.001070          0.000769         
233.000000        4.800000          0.001070          0.000769         
243.000000        4.800000          0.001070          0.000769         
253.000000        4.800000          0.001070          0.000769         
263.000000        4.800000          0.001070          0.000769         
274.000000        4.363636          0.000972          0.000699         
284.000000        5.000000          0.001070          0.000769         
294.000000        4.800000          0.001070          0.000769         
304.000000        4.800000          0.001070          0.000769         
314.000000        6.400000          0.001070          1.767098         
325.000000        4.363636          0.000973          2.687637         
335.000000        4.600000          0.001070          2.920210         
345.000000        4.600000          0.001070          2.950379         
355.000000        4.800000          0.001070          3.006748         
365.000000        4.800000          0.001070          2.991700         
375.000000        5.000000          0.001070          2.992553         
385.000000        5.600000          0.001070          2.952661         
396.000000        4.181818          0.000973          2.558931         
406.000000        5.000000          0.001070          2.918070         
416.000000        4.900000          0.001070          2.866887         
426.000000        4.600000          0.001070          2.960466         
436.000000        5.000000          0.001070          2.927566         
446.000000        4.800000          0.001070          2.861265         
457.000000        4.181818          0.000973          2.534838         
467.000000        5.000000          0.001071          2.731311         
477.000000        4.800000          0.001070          2.638130         
487.000000        4.600000          0.001070          2.617010         
497.000000        5.000000          0.001070          2.675155         
507.000000        4.800000          0.001070          2.519424         
517.000000        4.800000          0.001070          2.544128         
528.000000        4.363636          0.000973          2.419508         
538.000000        4.800000          0.001070          2.629562         
548.000000        4.800000          0.001070          2.695594         
558.000000        4.800000          0.001070          2.723331         
568.000000        4.600000          0.001070          2.467689         
578.000000        5.200000          0.001070          2.461592         
588.000000        4.800000          0.001070          2.549180         
599.000000        4.363636          0.000973          2.249824         
610.000000        6.363636          0.022567          2.039608         
620.000000        4.800000          0.295127          0.000769         
630.000000        4.800000          0.295946          0.000769         
641.000000        4.363636          0.293615          0.000699         
651.000000        4.800000          0.289393          0.000769         
661.000000        4.800000          0.296765          0.000769         
671.000000        4.800000          0.295946          0.000769         
681.000000        4.800000          0.288574          0.000769         
693.000000        4.000000          0.268464          0.000641         
703.000000        4.800000          0.300041          0.000769         
713.000000        4.800000          0.292670          0.000769         
723.000000        4.800000          0.304137          0.000769         
733.000000        4.800000          0.298403          0.000769         
743.000000        4.800000          0.298403          0.000769         
753.000000        4.800000          0.306594          0.000769         
764.000000        4.363636          0.274254          0.000699         
774.000000        4.800000          0.315605          0.000769         
784.000000        4.800000          0.304137          0.000769         
794.000000        4.800000          0.295127          0.000769         
805.000000        4.363636          0.277233          0.000699         
815.000000        4.800000          0.295946          0.000769         
825.000000        4.800000          0.288574          0.000769         
835.000000        4.800000          0.294308          0.000769         
845.000000        4.800000          0.298403          0.000769         
855.000000        4.800000          0.290212          0.000769         
865.000000        4.800000          0.302499          0.000769         
876.000000        4.363636          0.266063          0.000699         
886.000000        4.800000          0.096419          0.000776         
896.000000        4.800000          0.001070          0.000769         
906.000000        4.800000          0.001070          0.000769         
916.000000        4.800000          0.001070          0.000769         
926.000000        4.800000          0.001070          0.000769         
936.000000        4.800000          0.001070          0.000769         
947.000000        4.363636          0.000973          0.000699         
957.000000        4.800000          0.001070          0.000769         
967.000000        4.800000          0.001070          0.000769         
977.000000        4.800000          0.001070          0.000769         
987.000000        4.800000          0.001070          0.000769         
997.000000        4.800000          0.001070          0.000769         
1008.000000       4.363636          0.000973          0.000699         
1018.000000       4.800000          0.001070          0.000769         
1028.000000       4.800000          0.001070          0.000769         
1038.000000       4.800000          0.001070          0.000769         
1048.000000       4.800000          0.001070          0.000769         
1058.000000       4.800000          0.001070          0.000769         
1068.000000       4.800000          0.001070          0.000769         
1079.000000       4.363636          0.000973          0.000699         
1089.000000       4.800000          0.001070          0.000769         
1099.000000       4.800000          0.001070          0.000769         
1109.000000       4.800000          0.001070          0.000769         
1119.000000       4.800000          0.001070          0.000769         
1129.000000       4.800000          0.001070          0.000769         
1139.000000       4.800000          0.001070          0.000769         
1150.000000       4.363636          0.000973          0.000699         
1160.000000       4.800000          0.001070          0.000769         
1170.000000       4.800000          0.001070          0.000769         
