TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       
1523895138        197729           349860713         550807           323674            214393409060     6404402627        5875199          764730022626      1911382879103    
1523895149        199253           352021882         550807           323758            214393836087     6404807506        5875200          764730022626      1911382879103    
1523895159        199253           352021882         550807           323806            214393846789     6404815145        5875200          764730022626      1911382879103    
1523895169        199254           352021882         550807           323854            214393857491     6404822774        5875200          764730022626      1911382879103    
1523895179        199254           352021882         550807           323902            214393868193     6404830403        5875200          764730022626      1911382879103    
1523895189        199254           352021882         550807           323950            214393878895     6404838033        5875200          764730022626      1911382879103    
1523895199        199254           352021882         550807           323998            214393889597     6404845662        5875200          764730022626      1911382879103    
1523895210        199254           352021882         550807           324046            214393900301     6404853292        5875206          764730022626      1911382879103    
1523895220        199254           352021882         550807           324094            214393911005     6404860932        5875206          764730022626      1911382879103    
1523895230        199254           352021882         550807           324142            214393921709     6404868563        5875206          764730022626      1911382879103    
1523895240        199254           352021882         550807           324190            214393932413     6404876193        5875206          764730022626      1911382879103    
1523895250        199256           352021882         550807           324240            214393943117     6404883824        5875209          764730022626      1911382879103    
1523895261        199256           352021882         550807           324290            214393953821     6404891454        5875209          764730022626      1911382879103    
1523895271        199256           352021882         550807           324340            214393964525     6404899084        5875209          764730022626      1911382879103    
1523895281        199256           352021882         550807           324390            214393975229     6404906715        5875209          764730022626      1911382879103    
1523895291        199256           352021882         550807           324438            214393985933     6404914346        5875209          764730022626      1911382879103    
1523895301        199256           352021882         550807           324488            214393996637     6404921976        5875209          764730022626      1911382879103    
1523895311        199256           352021882         550807           324540            214394007341     6404929607        5875209          764730022626      1911382879103    
1523895322        199258           352021882         550807           324590            214394018045     6404937238        5875213          764730022626      1911382879103    
1523895332        199258           352021882         550807           324640            214394028749     6404944869        5875214          764730022626      1911382879103    
1523895342        199258           352021882         550807           324690            214394039453     6404952500        5875215          764730022626      1911382879103    
1523895352        199258           352021882         550807           324740            214394050159     6404960132        5875215          764730022626      1911382879103    
1523895362        199258           352021882         550807           324790            214394060865     6404967764        5875215          764730022626      1911382879103    
1523895372        199258           352021882         550807           324840            214394071571     6404975396        5875215          764730022626      1911382879103    
1523895383        199258           352021882         550807           324890            214394082277     6404983028        5875215          764730022626      1911382879103    
1523895393        199260           352021882         550807           324940            214394092983     6404990660        5875218          764730022626      1911382879103    
1523895403        199260           352021882         550807           324990            214394103689     6404998292        5875218          764730022626      1911382879103    
