TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1523895138 197729 349860713 550807
1523895149 199253 352021882 550807
1523895159 199253 352021882 550807
1523895169 199254 352021882 550807
1523895179 199254 352021882 550807
1523895189 199254 352021882 550807
1523895199 199254 352021882 550807
1523895210 199254 352021882 550807
1523895220 199254 352021882 550807
1523895230 199254 352021882 550807
1523895240 199254 352021882 550807
1523895250 199256 352021882 550807
1523895261 199256 352021882 550807
1523895271 199256 352021882 550807
1523895281 199256 352021882 550807
1523895291 199256 352021882 550807
1523895301 199256 352021882 550807
1523895311 199256 352021882 550807
1523895322 199258 352021882 550807
1523895332 199258 352021882 550807
1523895342 199258 352021882 550807
1523895352 199258 352021882 550807
1523895362 199258 352021882 550807
1523895372 199258 352021882 550807
1523895383 199258 352021882 550807
1523895393 199260 352021882 550807
1523895403 199260 352021882 550807
1523895413 199260 352021882 550807
1523895423 199260 352021882 550807
1523895433 199260 352021882 550807
1523895444 199260 352021882 550807
1523895454 199260 352021882 550807
1523895464 199260 352021882 550807
1523895474 199262 352021882 550807
1523895484 199262 352021882 550807
1523895494 199262 352021882 550807
1523895505 199262 352021882 550807
1523895515 199262 352021882 550807
1523895525 199262 352021882 550807
1523895535 199262 352021882 550807
1523895545 199264 352021882 550807
1523895556 199264 352021882 550807
1523895566 199264 352021882 550807
1523895576 199264 352021882 550807
1523895586 199264 352021882 550807
1523895596 199264 352021882 550807
1523895606 199264 352021882 550807
1523895768 199270 352021882 550807
1523895779 199270 352021882 550807
1523895789 199270 352021882 550807
1523895799 199270 352021882 550807
1523895809 199270 352021882 550807
1523895819 199270 352021882 550807
1523895830 199270 352021882 550807
1523895840 199270 352021882 550807
1523895850 199272 352021882 550807
1523895860 199272 352021882 550807
1523895870 199272 352021882 550807
1523895880 199272 352021882 550807
1523895891 199272 352021882 550807
1523895901 199272 352021882 550807
1523895911 199272 352021882 550807
1523895921 199274 352021882 550807
1523895931 199274 352021882 550807
1523895941 199274 352021882 550807
1523895952 199274 352021882 550807
1523895963 199274 352021882 550807
1523895973 199274 352021882 550807
1523895983 199274 352021882 550807
1523895994 199276 352021882 550807
1523896004 199276 352021882 550807
1523896014 199276 352021882 550807
1523896024 199276 352021882 550807
1523896035 199276 352021882 550807
1523896045 199276 352021882 550807
1523896055 199276 352021882 550807
1523896065 199276 352021882 550807
1523896075 199278 352021882 550807
1523896085 199278 352021882 550807
1523896096 199278 352021882 550807
1523896106 199278 352021882 550807
1523896116 199278 352021882 550807
1523896126 199278 352021882 550807
1523896136 199278 352021882 550807
1523896146 199280 352021882 550807
1523896157 199280 352021882 550807
1523896167 199280 352021882 550807
1523896177 199280 352021882 550807
1523896187 199280 352021882 550807
1523896197 199280 352021882 550807
1523896207 199280 352021882 550807
1523896218 199282 352021882 550807
1523896228 199282 352021882 550807
1523896238 199282 352021882 550807
1523896248 199282 352021882 550807
1523896258 199282 352021882 550807
1523896268 199282 352021882 550807
1523896279 199282 352021882 550807
1523896289 199282 352021882 550807
1523896299 199284 352021882 550807
1523896309 199284 352021882 550807
1523896319 199284 352021882 550807
1523896330 199284 352021882 550807
1523896340 199284 352021882 550807
1523896350 199284 352021882 550807
1523896360 199284 352021882 550807
1523896370 199286 352021882 550807
1523896380 199286 352021882 550807
1523896391 199286 352021882 550807
1523896401 199286 352021882 550807
1523896411 199286 352021882 550807
1523896421 199286 352021882 550807
1523896431 199286 352021882 550807
1523896441 199286 352021882 550807
1523896452 199288 352021882 550807
1523896462 199288 352021882 550807
1523896472 199288 352021882 550807
1523896482 199288 352021882 550807
1523896492 199288 352021882 550807
1523896503 199288 352021882 550807
1523896513 199288 352021882 550807
1523896523 199290 352021882 550807
1523896533 199290 352021882 550807
1523896543 199290 352021882 550807
1523896553 199290 352021882 550807
1523896564 199290 352021882 550807
1523896574 199290 352021882 550807
1523896584 199290 352021882 550807
1523896594 199292 352021882 550807
1523896604 199292 352021882 550807
1523896614 199292 352021882 550807
1523896625 199292 352021882 550807
1523896635 199292 352021882 550807
1523896645 199292 352021882 550807
1523896655 199292 352021882 550807
1523896665 199292 352021882 550807
1523896676 199294 352021882 550807
1523896686 199294 352021882 550807
1523896696 199294 352021882 550807
1523896706 199294 352021882 550807
1523896716 199294 352021882 550807
1523896726 199294 352021882 550807
1523896737 199294 352021882 550807
1523896747 199296 352021882 550807
1523896757 199296 352021882 550807
1523896767 199296 352021882 550807
1523896777 199296 352021882 550807
1523896787 199296 352021882 550807
1523896798 199296 352021882 550807
1523896808 199296 352021882 550807
1523896818 199298 352021882 550807
1523896828 199298 352021882 550807
1523896838 199298 352021882 550807
1523896848 199298 352021882 550807
1523896859 199298 352021882 550807
1523896869 199298 352021882 550807
1523896879 199298 352021882 550807
1523896889 199298 352021882 550807
1523896899 199300 352021882 550807
1523896910 199300 352021882 550807
1523896920 199300 352021882 550807
1523896930 199300 352021882 550807
1523896940 199300 352021882 550807
1523896950 199300 352021882 550807
1523896961 199300 352021882 550807
1523896971 199302 352021882 550807
1523896982 199303 352021882 550807
1523896992 199303 352021882 550807
1523897002 199303 352021882 550807
1523897012 199303 352021882 550807
1523897022 199304 352021882 550807
1523897032 199305 352021882 550807
1523897043 199306 352021882 550807
1523897053 199306 352021882 550807
1523897063 199306 352021882 550807
1523897073 199306 352021882 550807
1523897084 199306 352021882 550807
1523897094 199306 352021882 550807
1523897104 199306 352021882 550807
1523897114 199306 352021882 550807
1523897124 199308 352021882 550807
1523897134 199308 352021882 550807
1523897145 199308 352021882 550807
1523897155 199308 352021882 550807
1523897165 199308 352021882 550807
1523897175 199308 352021882 550807
1523897186 199308 352021882 550807
1523897196 199310 352021882 550807
1523897206 199310 352021882 550807
1523897217 199310 352021882 550807
1523897227 199310 352021882 550807
1523897237 199310 352021882 550807
1523897247 199310 352021882 550807
1523897257 199310 352021882 550807
1523897267 199312 352021882 550807
1523897278 199312 352021882 550807
1523897288 199312 352021882 550807
1523897298 199312 352021882 550807
1523897308 199312 352021882 550807
1523897318 199312 352021882 550807
1523897329 199312 352021882 550807
1523897339 199312 352021882 550807
1523897349 199314 352021882 550807
1523897359 199314 352021882 550807
1523897370 199314 352021882 550807
1523897380 199314 352021882 550807
1523897390 199314 352021882 550807
1523897400 199314 352021882 550807
1523897411 199314 352021882 550807
1523897421 199316 352021882 550807
1523897432 199316 352021882 550807
1523897442 199316 352021882 550807
1523897452 199316 352021882 550807
1523897463 199316 352021882 550807
1523897473 199316 352021882 550807
1523897483 199316 352021882 550807
1523897493 199318 352021882 550807
1523897503 199318 352021882 550807
1523897514 199318 352021882 550807
1523897524 199318 352021882 550807
1523897534 199318 352021882 550807
1523897544 199318 352021882 550807
1523897554 199318 352021882 550807
1523897565 199318 352021882 550807
1523897575 199320 352021882 550807
1523897585 199320 352021882 550807
1523897595 199320 352021882 550807
1523897605 199320 352021882 550807
1523897615 199320 352021882 550807
1523897626 199320 352021882 550807
1523897636 199320 352021882 550807
1523897646 199322 352021882 550807
