#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1518729240        0.681740          0.681740          0.061897          0.061897          0.000000          182.616000        0.061897         
1518729250        0.974495          0.974495          0.271992          0.271992          0.000000          182.305000        0.271992         
1518729260        0.975189          0.975189          0.272614          0.272614          0.000000          182.304000        0.272614         
1518729270        0.978172          0.978172          0.275635          0.275635          0.000000          182.301000        0.275635         
1518729281        0.978172          0.976902          0.275635          0.274399          0.000000          182.304000        0.275635         
1518729291        0.978172          0.977390          0.275635          0.274879          0.000000          182.303000        0.275635         
1518729301        0.978237          0.978237          0.275738          0.275738          0.000000          182.302000        0.275738         
1518729311        0.978237          0.978237          0.275837          0.275837          0.000000          182.302000        0.275837         
1518729321        0.978237          0.978237          0.275845          0.275845          0.000000          182.305000        0.275845         
1518729331        0.978237          0.974850          0.275845          0.272228          0.000000          182.306000        0.275845         
1518729341        0.978237          0.976120          0.275845          0.273731          0.000000          182.305000        0.275845         
1518729352        0.978237          0.976963          0.275845          0.274475          0.000000          182.306000        0.275845         
1518729362        0.978237          0.977390          0.275845          0.274956          0.000000          182.305000        0.275845         
1518729372        0.978237          0.977814          0.275845          0.275246          0.000000          182.301000        0.275845         
1518729382        0.978237          0.978237          0.275845          0.275749          0.000000          182.303000        0.275845         
1518729392        0.978237          0.978237          0.275845          0.275749          0.000000          182.304000        0.275845         
1518729402        0.978237          0.978237          0.275848          0.275848          0.000000          182.303000        0.275848         
1518729412        0.978237          0.978237          0.275848          0.275848          0.000000          182.302000        0.275848         
1518729423        0.978237          0.978237          0.275852          0.275852          0.000000          182.303000        0.275852         
1518729433        0.978237          0.978237          0.275852          0.275852          0.000000          182.304000        0.275852         
1518729443        0.978237          0.978237          0.275852          0.275852          0.000000          182.301000        0.275852         
1518729453        0.978237          0.978237          0.275852          0.275852          0.000000          182.298000        0.275852         
1518729463        0.978237          0.978237          0.275852          0.275852          0.000000          182.305000        0.275852         
1518729473        0.978237          0.978237          0.275852          0.275852          0.000000          182.304000        0.275852         
1518729483        0.978237          0.978237          0.275852          0.275852          0.000000          182.306000        0.275852         
1518729494        0.978237          0.978237          0.275974          0.275974          0.000000          182.305000        0.275974         
1518729504        0.978237          0.978237          0.275974          0.275974          0.000000          182.306000        0.275974         
1518729514        0.978237          0.978237          0.275974          0.275974          0.000000          182.302000        0.275974         
1518729524        0.978237          0.978237          0.275974          0.275974          0.000000          182.306000        0.275974         
1518729534        0.978237          0.978237          0.275974          0.275974          0.000000          182.304000        0.275974         
1518729545        0.978237          0.978237          0.275974          0.275974          0.000000          182.306000        0.275974         
1518729555        0.978237          0.978237          0.275974          0.275974          0.000000          182.307000        0.275974         
1518729565        0.978237          0.978237          0.275974          0.275974          0.000000          182.305000        0.275974         
1518729575        0.978237          0.978237          0.276009          0.276009          0.000000          182.292000        0.276009         
1518729585        0.978237          0.978237          0.276009          0.276009          0.000000          182.270000        0.276009         
1518729595        0.978237          0.978237          0.276009          0.276009          0.000000          182.246000        0.276009         
1518729605        0.978237          0.978237          0.276009          0.276009          0.000000          182.223000        0.276009         
1518729616        0.978237          0.978237          0.276009          0.276009          0.000000          182.203000        0.276009         
1518729626        0.978237          0.978237          0.276012          0.276012          0.000000          182.178000        0.276012         
1518729636        0.978237          0.978237          0.276012          0.276012          0.000000          182.157000        0.276012         
1518729646        0.978237          0.978237          0.276012          0.276012          0.000000          182.133000        0.276012         
1518729656        0.978237          0.978237          0.276012          0.276012          0.000000          182.107000        0.276012         
1518729666        0.978237          0.978237          0.276012          0.276012          0.000000          182.085000        0.276012         
1518729676        0.978237          0.978237          0.276012          0.276012          0.000000          182.057000        0.276012         
1518729687        0.978237          0.978237          0.276012          0.276012          0.000000          182.036000        0.276012         
1518729697        0.978237          0.978237          0.276012          0.276012          0.000000          182.014000        0.276012         
1518729707        0.978237          0.978237          0.276012          0.276012          0.000000          181.994000        0.276012         
1518729717        0.978237          0.978237          0.276012          0.276012          0.000000          181.967000        0.276012         
1518729727        0.978237          0.978237          0.276012          0.276012          0.000000          181.945000        0.276012         
1518729737        0.978237          0.978237          0.276012          0.276012          0.000000          181.924000        0.276012         
1518729747        0.978237          0.978237          0.276012          0.276012          0.000000          181.899000        0.276012         
1518729758        0.978237          0.978237          0.276012          0.276012          0.000000          181.876000        0.276012         
1518729768        0.978237          0.978237          0.276012          0.276012          0.000000          181.853000        0.276012         
1518729778        0.978237          0.978237          0.276012          0.276012          0.000000          181.830000        0.276012         
1518729788        0.978237          0.978237          0.276016          0.276016          0.000000          181.809000        0.276016         
1518729798        0.978237          0.978237          0.276016          0.276016          0.000000          181.786000        0.276016         
1518729808        0.978237          0.978237          0.276016          0.276016          0.000000          181.763000        0.276016         
1518729818        0.978237          0.978237          0.276016          0.276016          0.000000          181.740000        0.276016         
1518729829        0.978237          0.978237          0.276016          0.276016          0.000000          181.720000        0.276016         
