#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1519682624        0.685936          0.685936          0.064041          0.064041          0.000000          182.856000        0.064041         
1519682635        0.860493          0.860493          0.157684          0.157684          0.000000          182.740000        0.157684         
1519682645        0.863712          0.863712          0.160904          0.160904          0.000000          182.738000        0.160904         
1519682655        0.863712          0.862453          0.160904          0.159649          0.000000          182.738000        0.160904         
1519682665        0.863712          0.862896          0.160904          0.159843          0.000000          182.739000        0.160904         
1519682675        0.863712          0.862896          0.160904          0.160091          0.000000          182.739000        0.160904         
1519682685        0.863712          0.862896          0.160904          0.160091          0.000000          182.743000        0.160904         
1519682695        0.863712          0.860493          0.160904          0.157806          0.000000          182.742000        0.160904         
1519682706        0.863712          0.860714          0.160904          0.157810          0.000000          182.743000        0.160904         
1519682716        0.863712          0.861572          0.160904          0.158596          0.000000          182.743000        0.160904         
1519682726        0.863712          0.860493          0.160904          0.157822          0.000000          182.743000        0.160904         
1519682736        0.863712          0.860493          0.160904          0.157822          0.000000          182.744000        0.160904         
1519682746        0.863712          0.863663          0.160904          0.160648          0.000000          182.744000        0.160904         
1519682756        0.863712          0.863663          0.160904          0.160652          0.000000          182.742000        0.160904         
1519682767        0.863712          0.863663          0.160904          0.160652          0.000000          182.743000        0.160904         
1519682777        0.863712          0.863663          0.160904          0.160652          0.000000          182.743000        0.160904         
1519682787        0.863712          0.863663          0.160904          0.160652          0.000000          182.738000        0.160904         
1519682797        0.863712          0.863663          0.160904          0.160873          0.000000          182.742000        0.160904         
1519682807        0.863712          0.863663          0.160904          0.160873          0.000000          182.743000        0.160904         
1519682817        0.863712          0.860493          0.160904          0.158810          0.000000          182.745000        0.160904         
1519682827        0.863712          0.860493          0.160904          0.158810          0.000000          182.745000        0.160904         
1519682838        0.863712          0.860493          0.160904          0.158810          0.000000          182.746000        0.160904         
1519682848        0.863712          0.860493          0.160904          0.158810          0.000000          182.743000        0.160904         
1519682858        0.863712          0.860493          0.160904          0.158810          0.000000          182.747000        0.160904         
1519682868        0.863712          0.860493          0.160904          0.158813          0.000000          182.746000        0.160904         
1519682878        0.863712          0.860493          0.160904          0.158813          0.000000          182.745000        0.160904         
1519682888        0.863712          0.860493          0.160904          0.158813          0.000000          182.747000        0.160904         
1519682899        0.863712          0.860493          0.160904          0.158813          0.000000          182.748000        0.160904         
1519682909        0.863712          0.860493          0.160904          0.158813          0.000000          182.745000        0.160904         
1519682919        0.863712          0.860493          0.160904          0.158813          0.000000          182.748000        0.160904         
1519682929        0.863712          0.861012          0.160904          0.159023          0.000000          182.749000        0.160904         
1519682939        0.863712          0.861012          0.160904          0.159222          0.000000          182.732000        0.160904         
1519682950        0.863712          0.861012          0.160904          0.159222          0.000000          182.705000        0.160904         
1519682960        0.863712          0.861012          0.160904          0.159222          0.000000          182.680000        0.160904         
1519682970        0.863712          0.861012          0.160904          0.159222          0.000000          182.651000        0.160904         
1519682980        0.863712          0.861012          0.160904          0.159245          0.000000          182.624000        0.160904         
1519682990        0.863712          0.861149          0.160904          0.159245          0.000000          182.596000        0.160904         
1519683000        0.863712          0.861149          0.160904          0.159245          0.000000          182.568000        0.160904         
1519683010        0.863712          0.861149          0.160904          0.159248          0.000000          182.541000        0.160904         
1519683021        0.863712          0.861149          0.160904          0.159248          0.000000          182.510000        0.160904         
1519683031        0.863712          0.861149          0.160904          0.159248          0.000000          182.486000        0.160904         
1519683041        0.863712          0.861149          0.160904          0.159386          0.000000          182.462000        0.160904         
1519683051        0.863712          0.861149          0.160904          0.159386          0.000000          182.432000        0.160904         
1519683061        0.863712          0.861149          0.160904          0.159386          0.000000          182.402000        0.160904         
1519683071        0.863712          0.861149          0.160904          0.159386          0.000000          182.371000        0.160904         
1519683081        0.863712          0.861149          0.160904          0.159386          0.000000          182.339000        0.160904         
1519683092        0.863712          0.861149          0.160904          0.159386          0.000000          182.310000        0.160904         
1519683102        0.863712          0.861149          0.160904          0.159386          0.000000          182.286000        0.160904         
1519683112        0.863712          0.861149          0.160904          0.159386          0.000000          182.257000        0.160904         
1519683122        0.863712          0.861149          0.160904          0.159386          0.000000          182.229000        0.160904         
1519683132        0.863712          0.861149          0.160904          0.159386          0.000000          182.203000        0.160904         
1519683142        0.863712          0.861149          0.160904          0.159386          0.000000          182.175000        0.160904         
1519683152        0.863712          0.861149          0.160904          0.159389          0.000000          182.146000        0.160904         
1519683163        0.863712          0.861149          0.160904          0.159389          0.000000          182.118000        0.160904         
1519683173        0.863712          0.861149          0.160904          0.159389          0.000000          182.090000        0.160904         
1519683183        0.863712          0.861149          0.160904          0.159389          0.000000          182.063000        0.160904         
1519683193        0.863712          0.861149          0.160904          0.159389          0.000000          182.037000        0.160904         
1519683203        0.863712          0.861149          0.160904          0.159389          0.000000          182.014000        0.160904         
1519683213        0.863712          0.861149          0.160904          0.159389          0.000000          181.985000        0.160904         
1519683223        0.863712          0.861149          0.160904          0.159389          0.000000          181.963000        0.160904         
1519683234        4.113540          4.113540          3.411990          3.411990          0.000000          178.678000        3.411990         
1519683245        4.113540          4.113540          3.411990          3.411990          0.000000          178.674000        3.411990         
1519683255        4.113540          4.113540          3.411990          3.411990          0.000000          178.677000        3.411990         
1519683266        4.113540          4.113540          3.411990          3.411990          0.000000          178.674000        3.411990         
1519683276        4.113540          4.113540          3.411990          3.411990          0.000000          178.676000        3.411990         
1519683286        4.113540          4.113540          3.412030          3.412030          0.000000          178.678000        3.412030         
1519683296        4.113540          4.113540          3.412030          3.412030          0.000000          178.672000        3.412030         
1519683306        4.113540          4.113540          3.412030          3.412030          0.000000          178.674000        3.412030         
1519683317        4.113540          4.113540          3.412030          3.412030          0.000000          178.675000        3.412030         
1519683328        4.113540          4.113540          3.412030          3.412030          0.000000          178.676000        3.412030         
1519683338        4.113540          4.113540          3.412040          3.412040          0.000000          178.677000        3.412040         
1519683348        4.113540          4.113540          3.412040          3.412040          0.000000          178.678000        3.412040         
1519683358        4.113540          4.113540          3.412040          3.412040          0.000000          178.678000        3.412040         
1519683368        4.113540          4.113540          3.412040          3.412040          0.000000          178.678000        3.412040         
1519683378        4.113540          4.113540          3.412040          3.412040          0.000000          178.677000        3.412040         
1519683388        4.113540          4.113540          3.412760          3.412760          0.000000          178.677000        3.412760         
1519683399        4.113540          4.113540          3.412760          3.412760          0.000000          178.678000        3.412760         
1519683409        4.113540          4.113540          3.412760          3.412760          0.000000          178.677000        3.412760         
1519683419        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683429        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683440        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683450        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683460        4.113540          4.113540          3.412760          3.412760          0.000000          178.680000        3.412760         
1519683470        4.113540          4.113540          3.412760          3.412760          0.000000          178.675000        3.412760         
1519683480        4.113540          4.113540          3.412760          3.412760          0.000000          178.675000        3.412760         
1519683490        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683501        4.113540          4.113540          3.412760          3.412760          0.000000          178.679000        3.412760         
1519683511        4.113540          4.113540          3.412760          3.412760          0.000000          178.678000        3.412760         
