TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1523895138 5875199 764730022626 1911382879103
1523895149 5875200 764730022626 1911382879103
1523895159 5875200 764730022626 1911382879103
1523895169 5875200 764730022626 1911382879103
1523895179 5875200 764730022626 1911382879103
1523895189 5875200 764730022626 1911382879103
1523895199 5875200 764730022626 1911382879103
1523895210 5875206 764730022626 1911382879103
1523895220 5875206 764730022626 1911382879103
1523895230 5875206 764730022626 1911382879103
1523895240 5875206 764730022626 1911382879103
1523895250 5875209 764730022626 1911382879103
1523895261 5875209 764730022626 1911382879103
1523895271 5875209 764730022626 1911382879103
1523895281 5875209 764730022626 1911382879103
1523895291 5875209 764730022626 1911382879103
1523895301 5875209 764730022626 1911382879103
1523895311 5875209 764730022626 1911382879103
1523895322 5875213 764730022626 1911382879103
1523895332 5875214 764730022626 1911382879103
1523895342 5875215 764730022626 1911382879103
1523895352 5875215 764730022626 1911382879103
1523895362 5875215 764730022626 1911382879103
1523895372 5875215 764730022626 1911382879103
1523895383 5875215 764730022626 1911382879103
1523895393 5875218 764730022626 1911382879103
1523895403 5875218 764730022626 1911382879103
1523895413 5875218 764730022626 1911382879103
1523895423 5875218 764730022626 1911382879103
1523895433 5875218 764730022626 1911382879103
1523895444 5875218 764730022626 1911382879103
1523895454 5875218 764730022626 1911382879103
1523895464 5875218 764730022626 1911382879103
1523895474 5875222 764730022626 1911382879103
1523895484 5875222 764730022626 1911382879103
1523895494 5875222 764730022626 1911382879103
1523895505 5875222 764730022626 1911382879103
1523895515 5875222 764730022626 1911382879103
1523895525 5875222 764730022626 1911382879103
1523895535 5875222 764730022626 1911382879103
1523895545 5875226 764730022626 1911382879103
1523895556 5875226 764730022626 1911382879103
1523895566 5875226 764730022626 1911382879103
1523895576 5875226 764730022626 1911382879103
1523895586 5875226 764730022626 1911382879103
1523895596 5875226 764730022626 1911382879103
1523895606 5875226 764730022626 1911382879103
1523895768 5875238 764730022626 1911382879103
1523895779 5875238 764730022626 1911382879103
1523895789 5875238 764730022626 1911382879103
1523895799 5875238 764730022626 1911382879103
1523895809 5875238 764730022626 1911382879103
1523895819 5875238 764730022626 1911382879103
1523895830 5875238 764730022626 1911382879103
1523895840 5875238 764730022626 1911382879103
1523895850 5875242 764730022626 1911382879103
1523895860 5875242 764730022626 1911382879103
1523895870 5875242 764730022626 1911382879103
1523895880 5875242 764730022626 1911382879103
1523895891 5875242 764730022626 1911382879103
1523895901 5875242 764730022626 1911382879103
1523895911 5875242 764730022626 1911382879103
1523895921 5875246 764730022626 1911382879103
1523895931 5875246 764730022626 1911382879103
1523895941 5875246 764730022626 1911382879103
1523895952 5875246 764730022626 1911382879103
1523895963 5875246 764730022626 1911382879103
1523895973 5875246 764730022626 1911382879103
1523895983 5875246 764730022626 1911382879103
1523895994 5875250 764730022626 1911382879103
1523896004 5875250 764730022626 1911382879103
1523896014 5875250 764730022626 1911382879103
1523896024 5875250 764730022626 1911382879103
1523896035 5875250 764730022626 1911382879103
1523896045 5875250 764730022626 1911382879103
1523896055 5875250 764730022626 1911382879103
1523896065 5875250 764730022626 1911382879103
1523896075 5875254 764730022626 1911382879103
1523896085 5875254 764730022626 1911382879103
1523896096 5875254 764730022626 1911382879103
1523896106 5875254 764730022626 1911382879103
1523896116 5875254 764730022626 1911382879103
1523896126 5875254 764730022626 1911382879103
1523896136 5875254 764730022626 1911382879103
1523896146 5875258 764730022626 1911382879103
1523896157 5875258 764730022626 1911382879103
1523896167 5875258 764730022626 1911382879103
1523896177 5875258 764730022626 1911382879103
1523896187 5875258 764730022626 1911382879103
1523896197 5875258 764730022626 1911382879103
1523896207 5875258 764730022626 1911382879103
1523896218 5875262 764730022626 1911382879103
1523896228 5875262 764730022626 1911382879103
1523896238 5875262 764730022626 1911382879103
1523896248 5875262 764730022626 1911382879103
1523896258 5875262 764730022626 1911382879103
1523896268 5875262 764730022626 1911382879103
1523896279 5875262 764730022626 1911382879103
1523896289 5875264 764730022626 1911382879103
1523896299 5875266 764730022626 1911382879103
1523896309 5875266 764730022626 1911382879103
1523896319 5875266 764730022626 1911382879103
1523896330 5875266 764730022626 1911382879103
1523896340 5875266 764730022626 1911382879103
1523896350 5875266 764730022626 1911382879103
1523896360 5875266 764730022626 1911382879103
1523896370 5875270 764730022626 1911382879103
1523896380 5875270 764730022626 1911382879103
1523896391 5875270 764730022626 1911382879103
1523896401 5875270 764730022626 1911382879103
1523896411 5875270 764730022626 1911382879103
1523896421 5875270 764730022626 1911382879103
1523896431 5875270 764730022626 1911382879103
1523896441 5875270 764730022626 1911382879103
1523896452 5875274 764730022626 1911382879103
1523896462 5875274 764730022626 1911382879103
1523896472 5875274 764730022626 1911382879103
1523896482 5875274 764730022626 1911382879103
1523896492 5875274 764730022626 1911382879103
1523896503 5875274 764730022626 1911382879103
1523896513 5875274 764730022626 1911382879103
1523896523 5875278 764730022626 1911382879103
1523896533 5875278 764730022626 1911382879103
1523896543 5875278 764730022626 1911382879103
1523896553 5875278 764730022626 1911382879103
1523896564 5875278 764730022626 1911382879103
1523896574 5875278 764730022626 1911382879103
1523896584 5875278 764730022626 1911382879103
1523896594 5875282 764730022626 1911382879103
1523896604 5875282 764730022626 1911382879103
1523896614 5875283 764730022626 1911382879103
1523896625 5875283 764730022626 1911382879103
1523896635 5875283 764730022626 1911382879103
1523896645 5875283 764730022626 1911382879103
1523896655 5875283 764730022626 1911382879103
1523896665 5875284 764730022626 1911382879103
1523896676 5875287 764730022626 1911382879103
