TIMESTAMP        work-RQ          work-RD          work-WR          
1523896859 331214 214395474217 6405975284
1523896869 331262 214395484925 6405982917
1523896879 331310 214395495633 6405990550
1523896889 331358 214395506341 6405998183
1523896899 331406 214395517049 6406005816
1523896910 331454 214395527757 6406013449
1523896920 331502 214395538465 6406021082
1523896930 331552 214395549173 6406028714
1523896940 331600 214395559881 6406036348
1523896950 331648 214395570589 6406043981
1523896961 331696 214395581297 6406051614
1523896971 331744 214395592005 6406059247
1523896982 331793 214395602713 6406066880
1523896992 331841 214395613421 6406074513
1523897002 331893 214395624129 6406082145
1523897012 331941 214395634837 6406089778
1523897022 331991 214395645545 6406097411
1523897032 332039 214395656253 6406105044
1523897043 332085 214395666961 6406112677
1523897053 332133 214395677669 6406120310
1523897063 332181 214395688377 6406127943
1523897073 332229 214395699085 6406135576
1523897084 332277 214395709793 6406143209
1523897094 332325 214395720501 6406150841
1523897104 332373 214395731209 6406158474
1523897114 332421 214395741917 6406166107
1523897124 332469 214395752625 6406173740
1523897134 332517 214395763333 6406181373
1523897145 332565 214395774041 6406189006
1523897155 332615 214395784749 6406196639
1523897165 332663 214395795457 6406204271
1523897175 332711 214395806165 6406211904
1523897186 332759 214395816873 6406219537
1523897196 332807 214395827581 6406227169
1523897206 332855 214395838289 6406234802
1523897217 332905 214395848997 6406242435
1523897227 332953 214395859705 6406250068
1523897237 333003 214395870413 6406257701
1523897247 333051 214395881121 6406265334
1523897257 333099 214395891829 6406272967
1523897267 333151 214395902537 6406280600
1523897278 333199 214395913245 6406288233
1523897288 333247 214395923953 6406295866
1523897298 333295 214395934661 6406303498
1523897308 333341 214395945369 6406311142
1523897318 333389 214395956077 6406318775
1523897329 333441 214395966785 6406326408
1523897339 333489 214395977493 6406334041
1523897349 333535 214395988201 6406341674
1523897359 333583 214395998909 6406349307
1523897370 333631 214396009617 6406356939
1523897380 333679 214396020325 6406364572
1523897390 333727 214396031033 6406372205
1523897400 333777 214396041741 6406379837
1523897411 333825 214396052449 6406387470
1523897421 333875 214396063157 6406395103
1523897432 333923 214396073865 6406402735
1523897442 333971 214396084573 6406410368
1523897452 334019 214396095281 6406418001
1523897463 334067 214396105989 6406425633
1523897473 334115 214396116697 6406433265
1523897483 334163 214396127405 6406440898
1523897493 334212 214396138113 6406448531
1523897503 334262 214396148821 6406456163
1523897514 334312 214396159529 6406463796
1523897524 334360 214396170237 6406471429
1523897534 334408 214396180945 6406479062
1523897544 334454 214396191653 6406486695
1523897554 334502 214396202361 6406494328
1523897565 334550 214396213069 6406501961
1523897575 334598 214396223777 6406509594
1523897585 334646 214396234485 6406517227
1523897595 334694 214396245193 6406524860
1523897605 334742 214396255901 6406532493
1523897615 334790 214396266609 6406540125
1523897626 334838 214396277317 6406547758
1523897636 334886 214396288025 6406555391
1523897646 334934 214396298733 6406563024
1523897656 334982 214396309441 6406570656
1523897666 335032 214396320149 6406578299
1523897676 335080 214396330857 6406585932
1523897687 335128 214396341565 6406593565
1523897697 335176 214396352273 6406601198
1523897707 335226 214396362981 6406608831
1523897717 335274 214396373689 6406616464
1523897727 335322 214396384397 6406624097
1523897738 335370 214396395105 6406631729
1523897748 335420 214396405813 6406639362
1523897758 335468 214396416521 6406646995
1523897768 335516 214396427229 6406654628
1523897778 335564 214396437937 6406662261
1523897788 335612 214396448645 6406669894
1523897799 335660 214396459353 6406677527
1523897809 335708 214396470061 6406685160
1523897819 335756 214396480769 6406692792
1523897829 335804 214396491477 6406700425
1523897839 335852 214396502185 6406708058
1523897849 335900 214396512893 6406715691
1523897860 335948 214396523601 6406723324
1523897870 335996 214396534309 6406730957
1523897880 336044 214396545017 6406738589
1523897890 336094 214396555725 6406746222
1523897900 336142 214396566433 6406753855
1523897911 336190 214396577141 6406761488
1523897921 336238 214396587849 6406769121
1523897931 336284 214396598557 6406776754
1523897941 336332 214396609265 6406784387
1523897951 336380 214396619973 6406792020
1523897961 336428 214396630681 6406799653
1523897972 336476 214396641389 6406807286
1523897982 336524 214396652099 6406814920
1523897992 336572 214396662809 6406822554
1523898002 336620 214396673519 6406830188
1523898012 336668 214396684229 6406837822
1523898022 336716 214396694939 6406845456
1523898033 336764 214396705649 6406853090
1523898043 336812 214396716359 6406860724
1523898053 336860 214396727069 6406868358
1523898063 336908 214396737781 6406875992
1523898073 336956 214396748493 6406883627
1523898084 337004 214396759205 6406891262
1523898094 337052 214396769917 6406898897
1523898104 337100 214396780629 6406906532
1523898114 337148 214396791341 6406914167
1523898124 337196 214396802053 6406921802
1523898134 337244 214396812765 6406929437
1523898145 337292 214396823477 6406937072
1523898155 337340 214396834189 6406944707
1523898165 337388 214396844901 6406952342
1523898175 337436 214396855613 6406959977
1523898185 337484 214396866325 6406967612
1523898196 337532 214396877037 6406975247
1523898206 337582 214396887749 6406982882
1523898216 337630 214396898461 6406990516
1523898226 337678 214396909173 6406998151
1523898236 337726 214396919885 6407005797
1523898246 337772 214396930597 6407013432
1523898257 337820 214396941309 6407021067
1523898267 337868 214396952021 6407028701
1523898277 337916 214396962733 6407036335
1523898287 337964 214396973445 6407043970
1523898297 338012 214396984157 6407051604
1523898307 338060 214396994869 6407059239
1523898318 338108 214397005581 6407066874
1523898328 338156 214397016293 6407074509
1523898338 338204 214397027005 6407082144
1523898348 338252 214397037717 6407089779
1523898358 338300 214397048429 6407097414
1523898369 338348 214397059141 6407105049
1523898379 338396 214397069853 6407112684
1523898389 338444 214397080565 6407120319
1523898399 338492 214397091277 6407127954
1523898410 338540 214397101989 6407135589
1523898420 338588 214397112701 6407143224
1523898430 338636 214397123413 6407150859
1523898440 338684 214397134125 6407158494
1523898451 338732 214397144837 6407166129
1523898461 338780 214397155549 6407173764
1523898471 338828 214397166261 6407181399
1523898481 338876 214397176973 6407189034
1523898492 338926 214397187685 6407196669
1523898502 338974 214397198397 6407204304
1523898512 339022 214397209109 6407211939
1523898523 339068 214397219821 6407219574
1523898533 339116 214397230533 6407227209
1523898543 339164 214397241245 6407234844
1523898553 339212 214397251957 6407242479
1523898564 339260 214397262669 6407250114
1523898574 339308 214397273381 6407257749
1523898584 339356 214397284093 6407265384
1523898595 339404 214397294805 6407273019
1523898605 339452 214397305517 6407280654
1523898615 339502 214397316229 6407288289
1523898625 339552 214397326941 6407295924
1523898635 339602 214397337653 6407303559
1523898645 339650 214397348365 6407311194
1523898656 339698 214397359077 6407318828
1523898666 339746 214397369789 6407326463
1523898676 339794 214397380501 6407334098
1523898686 339842 214397391213 6407341733
1523898696 339890 214397401925 6407349368
1523898707 339938 214397412637 6407357003
1523898717 339986 214397423349 6407364638
1523898727 340036 214397434061 6407372273
1523898737 340084 214397444773 6407379908
1523898747 340132 214397455485 6407387543
1523898757 340180 214397466197 6407395178
1523898768 340228 214397476909 6407402813
1523898778 340276 214397487621 6407410448
1523898788 340324 214397498333 6407418083
1523898798 340372 214397509045 6407425718
1523898808 340420 214397519757 6407433353
1523898818 340468 214397530469 6407440988
1523898829 340516 214397541181 6407448623
1523898839 340570 214397551893 6407456258
1523898849 340618 214397562605 6407463893
1523898859 340666 214397573317 6407471528
1523898869 340714 214397584029 6407479163
1523898880 340762 214397594741 6407486798
1523898890 340810 214397605453 6407494433
1523898900 340858 214397616165 6407502079
1523898910 340906 214397626877 6407509714
1523898920 340954 214397637589 6407517349
1523898930 341002 214397648301 6407524984
1523898941 341052 214397659013 6407532619
1523898951 341100 214397669725 6407540254
1523898961 341148 214397680437 6407547889
1523898971 341196 214397691149 6407555524
1523898981 341244 214397701861 6407563158
1523898991 341292 214397712573 6407570793
1523899002 341340 214397723285 6407578428
1523899012 341388 214397733997 6407586063
1523899022 341436 214397744709 6407593698
1523899032 341484 214397755421 6407601333
1523899042 341541 214397766133 6407608968
1523899052 341589 214397776845 6407616603
1523899063 341637 214397787557 6407624238
1523899073 341685 214397798269 6407631873
1523899083 341733 214397808981 6407639507
1523899093 341781 214397819693 6407647142
1523899103 341829 214397830405 6407654777
1523899113 341877 214397841117 6407662412
1523899124 341925 214397851829 6407670047
1523899134 341973 214397862541 6407677682
1523899144 342021 214397873253 6407685316
1523899154 342069 214397883965 6407692951
1523899164 342118 214397894677 6407700586
1523899174 342167 214397905389 6407708221
1523899185 342216 214397916101 6407715856
1523899195 342267 214397926813 6407723491
1523899205 342316 214397937525 6407731125
1523899215 342365 214397948237 6407738760
1523899225 342414 214397958949 6407746394
1523899235 342463 214397969661 6407754029
1523899246 342512 214397980373 6407761664
1523899256 342559 214397991085 6407769299
1523899266 342606 214398001797 6407776934
1523899276 342655 214398012509 6407784568
1523899286 342702 214398023221 6407792202
1523899296 342751 214398033933 6407799837
1523899307 342800 214398044645 6407807472
1523899317 342849 214398055357 6407815107
1523899327 342898 214398066069 6407822742
1523899337 342946 214398076781 6407830377
1523899348 342995 214398087493 6407838012
1523899358 343044 214398098205 6407845646
1523899368 343093 214398108917 6407853281
1523899378 343141 214398119629 6407860915
1523899388 343189 214398130341 6407868550
1523899399 343239 214398141053 6407876185
1523899409 343287 214398151765 6407883820
1523899419 343335 214398162477 6407891455
1523899429 343383 214398173189 6407899090
1523899439 343431 214398183901 6407906725
1523899449 343479 214398194613 6407914360
1523899460 343527 214398205325 6407921995
1523899470 343575 214398216037 6407929630
1523899480 343623 214398226749 6407937264
1523899490 343671 214398237461 6407944899
1523899500 343720 214398248173 6407952534
1523899510 343769 214398258885 6407960169
1523899521 343818 214398269597 6407967803
1523899531 343866 214398280309 6407975438
1523899541 343914 214398291021 6407983073
1523899551 343964 214398301733 6407990707
1523899561 344012 214398312445 6407998341
1523899571 344060 214398323157 6408005976
1523899582 344108 214398333869 6408013611
1523899592 344156 214398344581 6408021246
1523899602 344204 214398355293 6408028881
1523899612 344252 214398366005 6408036516
1523899622 344300 214398376717 6408044151
1523899632 344348 214398387429 6408051786
1523899643 344396 214398398141 6408059421
1523899653 344444 214398408853 6408067055
1523899663 344492 214398419565 6408074690
1523899673 344540 214398430277 6408082325
1523899683 344588 214398440989 6408089971
1523899694 344636 214398451701 6408097606
1523899704 344684 214398462413 6408105241
1523899714 344732 214398473125 6408112876
1523899724 344780 214398483837 6408120511
1523899734 344828 214398494549 6408128146
1523899744 344876 214398505261 6408135781
1523899755 344924 214398515973 6408143416
1523899765 344972 214398526685 6408151051
