time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1523895901        0                 7772              0                 35823073          37698641          0                 2                 1931853353894     135593596040      0                 768              
1523895911        0                 7772              0                 35823149          37698715          0                 2                 1931853406775     135593622032      0                 768              
1523895921        0                 7772              0                 35823967          37699531          0                 2                 1931853624047     135593790488      0                 768              
1523895931        0                 7772              0                 35824043          37699605          0                 2                 1931853677389     135593816480      0                 768              
1523895941        0                 7772              0                 35824116          37699676          0                 2                 1931853731914     135593841448      0                 768              
1523895952        0                 7772              0                 35824212          37699770          0                 2                 1931853792078     135593869368      0                 768              
1523895963        0                 7772              0                 35824281          37699836          0                 2                 1931853840703     135593893240      0                 768              
1523895973        0                 7772              0                 35824357          37699911          0                 2                 1931853894968     135593919424      0                 768              
1523895984        0                 7772              0                 35824430          37699982          0                 2                 1931853950415     135593944392      0                 768              
1523895994        0                 7772              0                 35825247          37700797          0                 2                 1931854174797     135594112208      0                 768              
1523896004        0                 7772              0                 35825338          37700886          0                 2                 1931854227706     135594139160      0                 768              
1523896014        0                 7772              0                 35825415          37700961          0                 2                 1931854282894     135594165216      0                 768              
1523896024        0                 7772              0                 35825488          37701032          0                 2                 1931854339265     135594190184      0                 768              
1523896035        0                 7772              0                 35825561          37701103          0                 2                 1931854393819     135594215152      0                 768              
1523896045        0                 7772              0                 35825637          37701177          0                 2                 1931854451747     135594241144      0                 768              
1523896055        0                 7772              0                 35825710          37701248          0                 2                 1931854506761     135594266112      0                 768              
1523896065        0                 7772              0                 35825802          37701338          0                 2                 1931854556958     135594293128      0                 768              
1523896075        0                 7772              0                 35826628          37702162          0                 2                 1931854777434     135594463120      0                 768              
1523896085        0                 7772              0                 35826701          37702233          0                 2                 1931854826997     135594488088      0                 768              
1523896096        0                 7772              0                 35826780          37702310          0                 2                 1931854881039     135594515104      0                 768              
1523896106        0                 7772              0                 35826853          37702381          0                 2                 1931854931064     135594540072      0                 768              
1523896116        0                 7772              0                 35826929          37702455          0                 2                 1931854980368     135594566064      0                 768              
1523896126        0                 7772              0                 35827018          37702542          0                 2                 1931855030855     135594592056      0                 768              
1523896136        0                 7772              0                 35827094          37702616          0                 2                 1931855084717     135594618048      0                 768              
1523896146        0                 7772              0                 35827910          37703430          0                 2                 1931855302098     135594785672      0                 768              
1523896157        0                 7772              0                 35827983          37703501          0                 2                 1931855355325     135594810640      0                 768              
1523896167        0                 7772              0                 35828059          37703575          0                 2                 1931855403735     135594836632      0                 768              
1523896177        0                 7772              0                 35828132          37703646          0                 2                 1931855453328     135594861600      0                 768              
1523896187        0                 7772              0                 35828221          37703733          0                 2                 1931855505199     135594887592      0                 768              
1523896197        0                 7772              0                 35828297          37703807          0                 2                 1931855556349     135594913584      0                 768              
1523896208        0                 7772              0                 35828374          37703882          0                 2                 1931855609690     135594943687      0                 768              
1523896218        0                 7772              0                 35829203          37704709          0                 2                 1931855838128     135595114287      0                 768              
1523896228        0                 7772              0                 35829276          37704780          0                 2                 1931855890923     135595139255      0                 768              
1523896238        0                 7772              0                 35829349          37704851          0                 2                 1931855945996     135595164223      0                 768              
1523896248        0                 7772              0                 35829438          37704938          0                 2                 1931855999251     135595190215      0                 768              
1523896258        0                 7772              0                 35829514          37705012          0                 2                 1931856047689     135595216207      0                 768              
1523896269        0                 7772              0                 35829587          37705083          0                 2                 1931856097310     135595241175      0                 768              
1523896279        0                 7772              0                 35829660          37705154          0                 2                 1931856145114     135595266143      0                 768              
1523896289        0                 7772              0                 35829735          37705227          0                 2                 1931856195852     135595291495      0                 768              
1523896299        0                 7772              0                 35830556          37706046          0                 2                 1931856415765     135595460079      0                 768              
1523896309        0                 7772              0                 35830645          37706133          0                 2                 1931856466309     135595486071      0                 768              
1523896319        0                 7772              0                 35830718          37706204          0                 2                 1931856519132     135595511039      0                 768              
1523896330        0                 7772              0                 35830791          37706275          0                 2                 1931856574234     135595536007      0                 768              
1523896340        0                 7772              0                 35830867          37706349          0                 2                 1931856628615     135595561999      0                 768              
1523896350        0                 7772              0                 35830940          37706420          0                 2                 1931856684181     135595586967      0                 768              
1523896360        0                 7772              0                 35831013          37706491          0                 2                 1931856742025     135595611935      0                 768              
1523896370        0                 7772              0                 35831845          37707321          0                 2                 1931856964484     135595780583      0                 768              
1523896380        0                 7772              0                 35831918          37707392          0                 2                 1931857022789     135595805551      0                 768              
1523896391        0                 7772              0                 35831994          37707466          0                 2                 1931857080373     135595831543      0                 768              
1523896401        0                 7772              0                 35832067          37707537          0                 2                 1931857139140     135595856511      0                 768              
1523896411        0                 7772              0                 35832140          37707608          0                 2                 1931857200185     135595881479      0                 768              
1523896421        0                 7772              0                 35832213          37707679          0                 2                 1931857259413     135595906447      0                 768              
1523896431        0                 7772              0                 35832302          37707766          0                 2                 1931857320920     135595932439      0                 768              
1523896441        0                 7772              0                 35832375          37707837          0                 2                 1931857380610     135595957407      0                 768              
1523896452        0                 7772              0                 35833190          37708650          0                 2                 1931857592403     135596124839      0                 768              
1523896462        0                 7772              0                 35833263          37708721          0                 2                 1931857640267     135596149807      0                 768              
1523896472        0                 7772              0                 35833320          37708776          0                 2                 1931857670845     135596171359      0                 768              
1523896482        0                 7772              0                 35833380          37708834          0                 2                 1931857702519     135596193935      0                 768              
1523896492        0                 7772              0                 35833457          37708909          0                 2                 1931857742864     135596217431      0                 768              
1523896503        0                 7772              0                 35833526          37708976          0                 2                 1931857788582     135596241479      0                 768              
1523896513        0                 7772              0                 35833588          37709036          0                 2                 1931857821096     135596264559      0                 768              
1523896523        0                 7772              0                 35834397          37709843          0                 2                 1931858020514     135596430615      0                 768              
1523896533        0                 7772              0                 35834458          37709902          0                 2                 1931858058647     135596453087      0                 768              
1523896543        0                 7772              0                 35834532          37709974          0                 2                 1931858101245     135596478663      0                 768              
1523896553        0                 7772              0                 35834607          37710047          0                 2                 1931858132663     135596501743      0                 768              
1523896564        0                 7772              0                 35834669          37710107          0                 2                 1931858165177     135596524823      0                 768              
1523896574        0                 7772              0                 35834733          37710169          0                 2                 1931858206290     135596548319      0                 768              
1523896584        0                 7772              0                 35834804          37710238          0                 2                 1931858250928     135596572871      0                 768              
1523896594        0                 7772              0                 35835613          37711045          0                 2                 1931858450346     135596738927      0                 768              
1523896604        0                 7772              0                 35835672          37711102          0                 2                 1931858481764     135596760983      0                 768              
1523896614        0                 7772              0                 35835750          37711178          0                 2                 1931858524034     135596784671      0                 768              
1523896625        0                 7772              0                 35835824          37711250          0                 2                 1931858572904     135596810247      0                 768              
1523896635        0                 7772              0                 35835903          37711327          0                 2                 1931858629263     135596836727      0                 768              
1523896645        0                 7772              0                 35835976          37711398          0                 2                 1931858677189     135596861695      0                 768              
1523896655        0                 7772              0                 35836055          37711475          0                 2                 1931858729473     135596888263      0                 768              
1523896665        0                 7772              0                 35836129          37711547          0                 2                 1931858782292     135596913423      0                 768              
1523896676        0                 7772              0                 35836957          37712373          0                 2                 1931858998494     135597081303      0                 768              
1523896686        0                 7772              0                 35837031          37712445          0                 2                 1931859051767     135597106463      0                 768              
1523896696        0                 7772              0                 35837104          37712516          0                 2                 1931859106991     135597131431      0                 768              
1523896706        0                 7772              0                 35837180          37712590          0                 2                 1931859161494     135597157423      0                 768              
1523896716        0                 7772              0                 35837253          37712661          0                 2                 1931859213084     135597182391      0                 768              
1523896726        0                 7772              0                 35837328          37712734          0                 2                 1931859267373     135597207775      0                 768              
1523896737        0                 7772              0                 35837401          37712805          0                 2                 1931859297951     135597230351      0                 768              
1523896747        0                 7772              0                 35838207          37713609          0                 2                 1931859496305     135597395711      0                 768              
1523896757        0                 7772              0                 35838266          37713666          0                 2                 1931859533718     135597417679      0                 768              
1523896767        0                 7772              0                 35838337          37713735          0                 2                 1931859584276     135597442231      0                 768              
1523896777        0                 7772              0                 35838396          37713792          0                 2                 1931859615694     135597464287      0                 768              
1523896787        0                 7772              0                 35838456          37713850          0                 2                 1931859647440     135597486535      0                 768              
1523896798        0                 7772              0                 35838533          37713925          0                 2                 1931859687576     135597510031      0                 768              
1523896808        0                 7772              0                 35838607          37713997          0                 2                 1931859738270     135597535607      0                 768              
1523896818        0                 7772              0                 35839416          37714804          0                 2                 1931859937792     135597701663      0                 768              
1523896828        0                 7772              0                 35839478          37714864          0                 2                 1931859970306     135597724743      0                 768              
1523896838        0                 7772              0                 35839539          37714923          0                 2                 1931860008229     135597747215      0                 768              
1523896849        0                 7772              0                 35839610          37714992          0                 2                 1931860060963     135597771767      0                 768              
1523896859        0                 7772              0                 35839686          37715066          0                 2                 1931860092709     135597795039      0                 768              
1523896869        0                 7772              0                 35839745          37715123          0                 2                 1931860124127     135597817095      0                 768              
1523896879        0                 7772              0                 35839807          37715183          0                 2                 1931860164261     135597839759      0                 768              
1523896889        0                 7772              0                 35839878          37715252          0                 2                 1931860211939     135597864311      0                 768              
1523896899        0                 7772              0                 35840685          37716057          0                 2                 1931860410909     135598029983      0                 768              
1523896910        0                 7772              0                 35840744          37716114          0                 2                 1931860442327     135598052039      0                 768              
1523896920        0                 7772              0                 35840823          37716191          0                 2                 1931860484721     135598075919      0                 768              
1523896930        0                 7772              0                 35840897          37716263          0                 2                 1931860536631     135598101495      0                 768              
1523896940        0                 7772              0                 35840956          37716320          0                 2                 1931860568049     135598123551      0                 768              
1523896950        0                 7772              0                 35841017          37716379          0                 2                 1931860600123     135598145991      0                 768              
1523896961        0                 7772              0                 35841084          37716444          0                 2                 1931860646619     135598169751      0                 768              
1523896971        0                 7772              0                 35841890          37717248          0                 2                 1931860855647     135598335287      0                 768              
1523896982        0                 7772              0                 35841971          37717327          0                 2                 1931860889137     135598359519      0                 768              
1523896992        0                 7772              0                 35842031          37717385          0                 2                 1931860920883     135598381767      0                 768              
1523897002        0                 7772              0                 35842111          37717463          0                 2                 1931860981529     135598408647      0                 768              
1523897012        0                 7772              0                 35842170          37717520          0                 2                 1931861012947     135598430703      0                 768              
1523897022        0                 7772              0                 35842237          37717585          0                 2                 1931861051637     135598454743      0                 768              
1523897032        0                 7772              0                 35842307          37717653          0                 2                 1931861099320     135598479007      0                 768              
1523897043        0                 7772              0                 35843123          37718467          0                 2                 1931861307474     135598644367      0                 768              
1523897053        0                 7772              0                 35843182          37718524          0                 2                 1931861338892     135598666423      0                 768              
1523897063        0                 7772              0                 35843241          37718581          0                 2                 1931861370310     135598688479      0                 768              
1523897073        0                 7772              0                 35843306          37718644          0                 2                 1931861413385     135598711783      0                 768              
1523897084        0                 7772              0                 35843373          37718709          0                 2                 1931861455791     135598735503      0                 768              
1523897094        0                 7772              0                 35843432          37718766          0                 2                 1931861487209     135598757559      0                 768              
1523897104        0                 7772              0                 35843507          37718839          0                 2                 1931861518627     135598780639      0                 768              
1523897114        0                 7772              0                 35843572          37718902          0                 2                 1931861564573     135598803943      0                 768              
1523897124        0                 7772              0                 35844389          37719717          0                 2                 1931861777127     135598971663      0                 768              
1523897134        0                 7772              0                 35844448          37719774          0                 2                 1931861808545     135598993719      0                 768              
1523897145        0                 7772              0                 35844507          37719831          0                 2                 1931861839963     135599015775      0                 768              
1523897155        0                 7772              0                 35844575          37719897          0                 2                 1931861885781     135599040103      0                 768              
1523897165        0                 7772              0                 35844658          37719978          0                 2                 1931861932483     135599064847      0                 768              
1523897175        0                 7772              0                 35844717          37720035          0                 2                 1931861963901     135599086903      0                 768              
1523897186        0                 7772              0                 35844776          37720092          0                 2                 1931861995319     135599108959      0                 768              
1523897196        0                 7772              0                 35845588          37720902          0                 2                 1931862210240     135599275687      0                 768              
1523897206        0                 7772              0                 35845655          37720967          0                 2                 1931862259090     135599299407      0                 768              
1523897217        0                 7772              0                 35845717          37721027          0                 2                 1931862291604     135599322487      0                 768              
1523897227        0                 7772              0                 35845792          37721100          0                 2                 1931862323022     135599345567      0                 768              
1523897237        0                 7772              0                 35845860          37721166          0                 2                 1931862370486     135599369895      0                 768              
1523897247        0                 7772              0                 35845927          37721231          0                 2                 1931862413292     135599393615      0                 768              
1523897257        0                 7772              0                 35845986          37721288          0                 2                 1931862444710     135599415671      0                 768              
1523897267        0                 7772              0                 35846806          37722106          0                 2                 1931862663783     135599584503      0                 768              
1523897278        0                 7772              0                 35846873          37722171          0                 2                 1931862704104     135599608223      0                 768              
1523897288        0                 7772              0                 35846948          37722244          0                 2                 1931862735522     135599631303      0                 768              
1523897298        0                 7772              0                 35847009          37722303          0                 2                 1931862771487     135599653775      0                 768              
1523897308        0                 7772              0                 35847066          37722358          0                 2                 1931862802065     135599675327      0                 768              
1523897318        0                 7772              0                 35847137          37722427          0                 2                 1931862856378     135599699879      0                 768              
1523897329        0                 7772              0                 35847203          37722491          0                 2                 1931862894588     135599723879      0                 768              
1523897339        0                 7772              0                 35847270          37722556          0                 2                 1931862930534     135599746735      0                 768              
1523897349        0                 7772              0                 35848087          37723371          0                 2                 1931863129112     135599912927      0                 768              
1523897359        0                 7772              0                 35848158          37723440          0                 2                 1931863183937     135599937479      0                 768              
1523897370        0                 7772              0                 35848219          37723499          0                 2                 1931863216527     135599959951      0                 768              
1523897380        0                 7772              0                 35848278          37723556          0                 2                 1931863247945     135599982007      0                 768              
1523897390        0                 7772              0                 35848337          37723613          0                 2                 1931863279363     135600004063      0                 768              
1523897400        0                 7772              0                 35848417          37723691          0                 2                 1931863335795     135600030023      0                 768              
