TIMESTAMP        work-RQ          work-RD          work-WR          
1518789499 4095660 19131867535 11502560757
1518789509 4095744 19133680253 11505527775
1518789519 4095794 19134772691 11505535411
1518789530 4095840 19134783391 11505543038
1518789540 4095888 19134794091 11505550664
1518789552 4095936 19134804791 11505558291
1518789562 4095984 19134815491 11505565918
1518789572 4096032 19134826193 11505573546
1518789582 4096080 19134836895 11505581174
1518789592 4096128 19134847597 11505588802
1518789602 4096176 19134858299 11505596430
1518789612 4096224 19134869001 11505604058
1518789623 4096272 19134879703 11505611686
1518789633 4096322 19134890405 11505619314
1518789643 4096370 19134901107 11505626942
1518789653 4096418 19134911809 11505634570
1518789664 4096466 19134922511 11505642198
1518789674 4096512 19134933213 11505649826
1518789684 4096560 19134943915 11505657465
1518789694 4096608 19134954617 11505665093
1518789704 4096656 19134965319 11505672721
1518789715 4096704 19134976023 11505680350
1518789725 4096752 19134986727 11505687979
1518789735 4096800 19134997431 11505695608
1518789745 4096848 19135008135 11505703237
1518789755 4096896 19135018839 11505710866
1518789766 4096944 19135029543 11505718495
1518789776 4096992 19135040247 11505726124
1518789786 4097040 19135050951 11505733753
1518789796 4097088 19135061655 11505741382
1518789806 4097136 19135072359 11505749011
1518789816 4097184 19135083063 11505756640
1518789826 4097232 19135093767 11505764269
1518789837 4097280 19135104471 11505771898
1518789847 4097366 19135115175 11515669745
1518789857 4097414 19135125879 11539941562
1518789867 4097460 19135136583 11565443622
1518789877 4097506 19135147287 11591205893
1518789887 4097552 19135157991 11615696523
1518789897 4097600 19135168695 11641347766
1518789908 4097648 19135179399 11666474445
1518789918 4097697 19135190103 11691275790
1518789928 4097745 19135200807 11716759991
1518789938 4097793 19135211511 11742869381
1518789948 4097841 19135222215 11768836988
1518789958 4097889 19135232919 11795663771
1518789968 4097937 19135243623 11822920696
1518789979 4097985 19135254327 11849247592
1518789989 4098035 19135265031 11874560875
1518789999 4098083 19135275735 11900671423
1518790009 4098131 19135286439 11927502859
1518790019 4098183 19135297143 11953779763
1518790029 4098229 19135307847 11980097105
1518790039 4098275 19135318551 12006194527
1518790050 4098321 19135329255 12031802150
1518790060 4098369 19135339959 12057649507
1518790070 4098417 19135350663 12083832330
1518790080 4098471 19135361367 12109122110
1518790090 4098517 19135372071 12135598554
1518790100 4098563 19135382775 12159005307
1518790110 4098609 19135393479 12182341989
1518790121 4098663 19135404183 12206098350
1518790131 4098709 19135414887 12229172114
1518790141 4098755 19135425591 12253108828
1518790151 4098801 19135436295 12275752428
1518790161 4098855 19135446999 12299184224
1518790171 4098901 19135457703 12322082476
1518790181 4098970 19137729123 12329462535
1518790192 4099022 19141040800 12329470164
1518790202 4099070 19144336095 12329477793
1518790212 4099118 19147639581 12329485422
1518790222 4099166 19150934876 12329493051
1518790232 4099214 19154230171 12329500680
1518790242 4099262 19157533657 12329508309
1518790253 4099308 19160812570 12329515938
1518790263 4099354 19164083294 12329523568
1518790273 4099400 19167321254 12329531198
1518790283 4099448 19170641124 12329538828
1518790293 4099496 19173838129 12329546458
1518790303 4099544 19177198954 12329554088
1518790313 4099592 19180518824 12329561718
1518790324 4099640 19183838694 12329569348
1518790334 4099688 19187183137 12329576978
1518790344 4099736 19190478434 12329584608
1518790354 4099784 19193773731 12329592238
1518790364 4099832 19197069028 12329599868
1518790374 4099880 19200356134 12329607498
1518790385 4099928 19203618667 12329615128
1518790395 4099976 19206905773 12329622758
1518790405 4100024 19209873430 12329630388
1518790415 4100072 19212898424 12329638018
1518790425 4100120 19215574502 12329645711
1518790435 4100168 19215585208 12329653341
1518790445 4100216 19215595914 12329660971
1518790456 4100264 19215606620 12329668601
