#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1518789499        0.667553          0.667553          0.055832          0.055832          0.000000          182.373000        0.055832         
1518789509        0.929604          0.929604          0.228271          0.228271          0.000000          182.099000        0.228271         
1518789519        0.977077          0.977077          0.274567          0.274567          0.000000          182.058000        0.274567         
1518789529        0.978054          0.978054          0.275349          0.275349          0.000000          182.054000        0.275349         
1518789540        0.978054          0.974468          0.275349          0.272079          0.000000          182.061000        0.275349         
1518789550        0.978054          0.976871          0.275349          0.274342          0.000000          182.058000        0.275349         
1518789562        0.978054          0.976871          0.275349          0.274342          0.000000          182.058000        0.275349         
1518789572        0.978054          0.974754          0.275349          0.272079          0.000000          182.058000        0.275349         
1518789582        0.978054          0.974754          0.275349          0.272083          0.000000          182.059000        0.275349         
1518789592        0.978054          0.977291          0.275349          0.274605          0.000000          182.057000        0.275349         
1518789602        0.978054          0.976448          0.275349          0.273849          0.000000          182.058000        0.275349         
1518789612        0.978054          0.977291          0.275349          0.274609          0.000000          182.054000        0.275349         
1518789623        0.978054          0.974468          0.275349          0.272095          0.000000          182.057000        0.275349         
1518789633        0.978054          0.977291          0.275349          0.274559          0.000000          182.056000        0.275349         
1518789643        0.978054          0.976025          0.275349          0.273350          0.000000          182.054000        0.275349         
1518789653        0.978054          0.976871          0.275349          0.274357          0.000000          182.057000        0.275349         
1518789663        0.978054          0.977337          0.275349          0.274609          0.000000          182.054000        0.275349         
1518789674        0.978054          0.977337          0.275349          0.274609          0.000000          182.056000        0.275349         
1518789684        0.978054          0.977337          0.275349          0.274845          0.000000          182.054000        0.275349         
1518789694        0.978054          0.977337          0.275349          0.274845          0.000000          182.056000        0.275349         
1518789704        0.978184          0.978184          0.275654          0.275654          0.000000          182.057000        0.275654         
1518789714        0.978184          0.978184          0.275692          0.275692          0.000000          182.057000        0.275692         
1518789725        0.978184          0.978184          0.275692          0.275692          0.000000          182.054000        0.275692         
1518789735        0.978184          0.978184          0.275692          0.275692          0.000000          182.053000        0.275692         
