#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1524088328 52776873 52350051 84556 4455 52768202 52345150 93228 9356 91749.55 93911.69 5215.94 4393.45
1524088338 52776910 52350346 84556 4455 52768239 52345446 93228 9356 91749.07 93654.14 5215.91 4649.86
1524088349 52776966 52350354 84556 4455 52768295 52345454 93228 9356 91747.88 93654.30 5217.59 4649.70
1524088359 52777025 52350362 84556 4455 52768354 52345461 93228 9356 91746.50 93653.19 5219.04 4651.42
1524088369 52777084 52350474 84556 4455 52768412 52345573 93228 9356 91743.81 93639.50 5221.66 4665.09
1524088379 52777140 52350727 84556 4455 52768468 52345826 93228 9356 91742.87 93530.36 5222.70 4773.64
1524088389 52777199 52351011 84556 4455 52768528 52346110 93228 9356 91742.12 93565.90 5223.31 4738.10
1524088399 52777259 52351279 84556 4455 52768588 52346379 93228 9356 91747.23 93585.91 5218.81 4724.75
1524088410 52777318 52351601 84556 4455 52768647 52346700 93228 9356 91746.16 93546.56 5219.32 4756.95
1524088420 52777374 52351898 84556 4455 52768703 52346997 93228 9356 91745.46 93450.99 5220.11 4853.61
1524088430 52777432 52352309 84556 4455 52768761 52347408 93228 9356 91744.60 93372.22 5221.32 4932.39
1524088440 52777492 52352646 84556 4455 52768821 52347745 93228 9356 91745.45 93164.58 5220.05 5140.02
1524088450 52777550 52352862 84556 4455 52768879 52347962 93228 9356 91746.56 93358.80 5219.38 4945.20
1524088461 52777611 52353187 84556 4455 52768940 52348286 93228 9356 91745.07 93043.49 5220.93 5261.12
1524088471 52777668 52353408 84556 4455 52768997 52348508 93228 9356 91743.57 93302.79 5222.68 5000.71
1524088481 52777730 52353947 84556 4455 52769059 52349046 93228 9356 91746.68 93129.11 5219.35 5174.40
1524088491 52777790 52354006 84556 4455 52769119 52349105 93228 9356 91745.69 93254.80 5218.78 5048.70
1524088501 52777849 52354401 84556 4455 52769178 52349500 93228 9356 91747.00 92869.52 5218.43 5434.60
1524088511 52777909 52354672 84556 4455 52769237 52349772 93228 9356 91744.09 93183.48 5221.34 5120.52
1524088522 52777967 52355115 84556 4455 52769296 52350214 93228 9356 91745.73 92750.09 5219.80 5554.51
1524088532 52778029 52355339 84556 4455 52769358 52350439 93228 9356 91745.62 92966.91 5220.83 5337.09
1524088542 52778089 52355396 84556 4455 52769418 52350495 93228 9356 91745.47 93136.08 5219.49 5167.43
1524088552 52778148 52355863 84556 4455 52769476 52350962 93228 9356 91742.82 92675.21 5223.06 5628.30
1524088563 52778210 52356104 84556 4455 52769538 52351204 93228 9356 91746.58 92907.21 5219.94 5396.79
1524088573 52778267 52356177 84556 4455 52769596 52351276 93228 9356 91745.96 93074.18 5219.48 5229.82
1524088583 52778325 52356931 84556 4455 52769653 52352030 93228 9356 91745.00 92829.39 5221.47 5474.61
1524088594 52778381 52356992 84556 4455 52769710 52352091 93228 9356 91742.30 93028.39 5222.67 5276.21
1524088604 52778443 52357009 84556 4455 52769772 52352108 93228 9356 91745.04 93023.31 5221.03 5280.69
1524088614 52778503 52357811 84556 4455 52769832 52352910 93228 9356 91742.84 92762.22 5222.66 5541.78
1524088624 52778566 52357822 84556 4455 52769894 52352921 93228 9356 91747.50 92764.45 5218.04 5539.66
1524088634 52778626 52357887 84556 4455 52769955 52352986 93228 9356 91743.10 92975.15 5222.38 5329.46
1524088645 52778686 52358463 84556 4455 52770015 52353562 93228 9356 91746.70 92410.12 5218.76 5894.48
1524088655 52778746 52358756 84556 4455 52770075 52353855 93228 9356 91744.27 92695.51 5220.67 5609.09
1524088665 52778805 52358838 84556 4455 52770134 52353937 93228 9356 91744.99 92906.80 5220.44 5397.80
1524088675 52778865 52358856 84556 4455 52770194 52353955 93228 9356 91746.55 92898.86 5218.89 5405.26
1524088685 52778924 52359475 84556 4455 52770253 52354574 93228 9356 91745.65 92288.18 5219.87 6015.82
1524088695 52778980 52359791 84556 4455 52770309 52354890 93228 9356 91741.16 92597.52 5224.86 5707.07
1524088706 52779041 52359864 84556 4455 52770370 52354963 93228 9356 91745.38 92842.98 5221.18 5461.02
1524088716 52779101 52359882 84556 4455 52770430 52354981 93228 9356 91746.34 92835.04 5220.07 5469.08
1524088726 52779160 52360542 84556 4455 52770488 52355641 93228 9356 91745.91 92185.93 5220.55 6118.67
1524088736 52779222 52360879 84556 4455 52770550 52355978 93228 9356 91745.39 92515.98 5220.10 5788.61
1524088746 52779277 52360956 84556 4455 52770606 52356056 93228 9356 91746.36 92776.69 5219.21 5527.91
