#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1519683142 3159016 1751090 0 3866338 3158795 1750734 221 3866694 92508.30 94039.32 4457.12 4264.73
1519683153 3159052 1751155 0 3866338 3158831 1750798 221 3866694 92479.29 94038.79 4486.74 4265.31
1519683163 3159090 1751220 0 3866338 3158869 1750864 221 3866694 92451.93 94037.67 4514.09 4266.87
1519683173 3159130 1751284 0 3866338 3158909 1750928 221 3866694 92421.83 94038.72 4543.59 4265.80
1519683183 3159167 1751351 0 3866338 3158946 1750995 221 3866694 92392.88 94039.24 4572.54 4264.86
1519683193 3159204 1751414 0 3866338 3158983 1751058 221 3866694 92366.42 94038.36 4599.00 4265.64
1519683203 3159240 1751480 0 3866338 3159019 1751124 221 3866694 92341.19 94039.36 4624.23 4264.15
1519683213 3159278 1751545 0 3866338 3159056 1751189 221 3866694 92313.60 94040.18 4652.42 4264.46
1519683224 3159313 1751613 0 3866338 3159092 1751256 221 3866694 92287.33 94041.93 4678.09 4262.14
1519683235 3159366 1751674 0 3866338 3159145 1751317 221 3866694 88924.65 94041.73 8040.77 4262.29
1519683245 3159376 1751738 0 3866338 3159155 1751382 221 3866694 88923.45 94038.07 8042.09 4265.54
1519683255 3159389 1751804 0 3866338 3159168 1751448 221 3866694 88923.89 94040.46 8042.14 4263.04
1519683266 3159403 1751866 0 3866338 3159182 1751510 221 3866694 88922.71 94039.55 8042.71 4265.04
1519683276 3159415 1751935 0 3866338 3159194 1751578 221 3866694 88924.46 94039.96 8040.96 4263.67
1519683286 3159426 1751998 0 3866338 3159204 1751642 221 3866694 88924.83 94039.98 8040.59 4264.07
1519683296 3159437 1752061 0 3866338 3159215 1751705 221 3866694 88923.66 94036.07 8041.77 4268.42
1519683306 3159449 1752125 0 3866338 3159228 1751769 221 3866694 88922.93 94038.23 8042.00 4265.32
1519683317 3159463 1752191 0 3866338 3159242 1751835 221 3866694 88924.09 94039.85 8041.43 4265.14
1519683328 3159475 1752258 0 3866338 3159254 1751902 221 3866694 88924.21 94039.82 8041.21 4263.68
1519683338 3159486 1752323 0 3866338 3159265 1751966 221 3866694 88925.17 94039.95 8040.25 4265.04
1519683348 3159500 1752387 0 3866338 3159279 1752030 221 3866694 88925.30 94041.13 8040.12 4263.47
1519683358 3159511 1752451 0 3866338 3159290 1752094 221 3866694 88926.64 94040.70 8039.39 4263.86
1519683368 3159523 1752513 0 3866338 3159302 1752157 221 3866694 88924.54 94042.43 8040.88 4262.09
1519683378 3159538 1752577 0 3866338 3159317 1752221 221 3866694 88925.86 94040.49 8040.16 4263.55
1519683389 3159551 1752642 0 3866338 3159330 1752286 221 3866694 88924.67 94039.27 8040.75 4263.75
1519683399 3159564 1752708 0 3866338 3159342 1752352 221 3866694 88924.61 94041.12 8040.81 4262.38
1519683409 3159577 1752773 0 3866338 3159355 1752417 221 3866694 88924.53 94039.91 8040.89 4263.19
1519683419 3159587 1752838 0 3866338 3159366 1752482 221 3866694 88924.97 94040.87 8040.45 4263.23
1519683430 3159599 1752904 0 3866338 3159378 1752548 221 3866694 88924.96 94040.86 8039.97 4263.33
1519683440 3159611 1752970 0 3866338 3159390 1752614 221 3866694 88925.73 94041.86 8040.30 4262.18
1519683450 3159623 1753036 0 3866338 3159402 1752679 221 3866694 88925.30 94040.57 8039.63 4263.55
1519683460 3159635 1753100 0 3866338 3159414 1752743 221 3866694 88925.68 94042.34 8039.75 4262.24
1519683470 3159647 1753164 0 3866338 3159426 1752808 221 3866694 88923.61 94038.33 8041.32 4265.71
1519683480 3159658 1753231 0 3866338 3159437 1752874 221 3866694 88923.31 94038.25 8041.62 4265.32
1519683490 3159669 1753298 0 3866338 3159448 1752942 221 3866694 88925.81 94042.11 8039.61 4261.45
1519683501 3159682 1753363 0 3866338 3159461 1753007 221 3866694 88925.67 94041.07 8040.36 4262.93
1519683511 3159691 1753432 0 3866338 3159470 1753075 221 3866694 88926.11 94040.25 8039.31 4264.24
1519683521 3159703 1753497 0 3866338 3159482 1753141 221 3866694 88926.55 94041.44 8038.87 4263.65
1519683531 3159718 1753562 0 3866338 3159497 1753206 221 3866694 88927.04 94042.09 8038.38 4262.07
1519683541 3159728 1753626 0 3866338 3159507 1753270 221 3866694 88926.21 94037.84 8038.72 4265.75
1519683551 3159741 1753694 0 3866338 3159520 1753338 221 3866694 88927.07 94042.21 8038.36 4261.85
1519683561 3159754 1753758 0 3866338 3159533 1753401 221 3866694 88926.47 94041.85 8038.95 4262.29
1519683572 3159765 1753823 0 3866338 3159544 1753466 221 3866694 88927.55 94040.83 8037.87 4264.90
1519683582 3159777 1753889 0 3866338 3159556 1753532 221 3866694 88929.03 94040.68 8037.00 4264.37
1519683592 3159787 1753957 0 3866338 3159566 1753601 221 3866694 88928.59 94038.42 8036.84 4266.14
1519683602 3159798 1754017 0 3866338 3159577 1753660 221 3866694 88926.48 94039.02 8038.45 4264.49
1519683612 3159811 1754086 0 3866338 3159590 1753730 221 3866694 88928.46 94038.60 8036.96 4265.99
1519683622 3159823 1754152 0 3866338 3159602 1753796 221 3866694 88927.88 94039.00 8038.15 4265.52
1519683633 3159833 1754217 0 3866338 3159612 1753861 221 3866694 88926.54 94037.93 8038.88 4265.57
1519683643 3159846 1754282 0 3866338 3159625 1753926 221 3866694 88928.65 94039.23 8036.77 4264.77
1519683653 3159857 1754348 0 3866338 3159636 1753992 221 3866694 88928.86 94039.54 8036.56 4265.00
1519683663 3159869 1754415 0 3866338 3159648 1754059 221 3866694 88928.38 94040.41 8037.05 4264.27
1519683673 3159881 1754481 0 3866338 3159660 1754124 221 3866694 88928.23 94040.94 8036.70 4263.57
1519683683 3159892 1754547 0 3866338 3159671 1754191 221 3866694 88929.06 94040.65 8036.36 4263.90
1519683693 3159904 1754612 0 3866338 3159683 1754256 221 3866694 88928.08 94039.41 8037.34 4264.64
1519683704 3159915 1754679 0 3866338 3159694 1754323 221 3866694 88929.55 94038.50 8036.47 4265.56
1519683714 3159926 1754743 0 3866338 3159705 1754387 221 3866694 88927.86 94039.20 8037.67 4264.39
1519683724 3159939 1754809 0 3866338 3159718 1754453 221 3866694 88929.53 94039.87 8035.89 4264.22
1519683734 3159951 1754873 0 3866338 3159730 1754517 221 3866694 88930.14 94040.52 8035.29 4263.61
1519683744 3159963 1754940 0 3866338 3159742 1754583 221 3866694 88928.91 94040.78 8036.51 4263.30
1519683754 3159975 1755005 0 3866338 3159754 1754648 221 3866694 88929.55 94040.38 8035.87 4264.80
1519683764 3159986 1755072 0 3866338 3159765 1754716 221 3866694 88929.16 94039.12 8036.26 4266.09
1519683775 3159997 1755136 0 3866338 3159776 1754780 221 3866694 88928.21 94036.09 8036.71 4267.48
1519683785 3160009 1755201 0 3866338 3159788 1754845 221 3866694 88928.61 94035.62 8037.41 4267.40
1519683795 3160021 1755269 0 3866338 3159800 1754913 221 3866694 88928.92 94039.79 8036.50 4264.23
1519683805 3160034 1755336 0 3866338 3159812 1754979 221 3866694 88929.10 94040.39 8036.32 4263.16
1519683815 3160044 1755402 0 3866338 3159823 1755045 221 3866694 88928.27 94038.34 8037.15 4265.66
1519683825 3160060 1755467 0 3866338 3159839 1755111 221 3866694 88929.42 94038.57 8036.00 4265.92
1519683835 3160071 1755533 0 3866338 3159850 1755176 221 3866694 88929.27 94038.77 8036.16 4265.23
1519683846 3160082 1755598 0 3866338 3159861 1755242 221 3866694 88928.02 94038.61 8037.41 4266.49
1519683856 3160093 1755665 0 3866338 3159872 1755309 221 3866694 88929.29 94039.54 8036.13 4264.55
1519683866 3160105 1755732 0 3866338 3159884 1755376 221 3866694 88929.04 94039.78 8036.50 4264.32
1519683876 3160116 1755798 0 3866338 3159895 1755442 221 3866694 88929.18 94039.49 8035.75 4264.14
1519683886 3160126 1755867 0 3866338 3159905 1755510 221 3866694 88929.54 94039.75 8035.98 4264.33
1519683896 3160140 1755932 0 3866338 3159919 1755576 221 3866694 88929.58 94038.78 8036.45 4265.27
1519683907 3160151 1755999 0 3866338 3159930 1755642 221 3866694 88928.63 94036.66 8036.79 4267.44
1519683917 3160164 1756066 0 3866338 3159943 1755710 221 3866694 88929.12 94037.94 8036.30 4266.68
1519683927 3160177 1756131 0 3866338 3159956 1755775 221 3866694 88929.64 94037.02 8036.39 4266.99
1519683937 3160188 1756198 0 3866338 3159967 1755842 221 3866694 88928.83 94040.17 8036.71 4264.47
1519683947 3160201 1756265 0 3866338 3159979 1755909 221 3866694 88929.83 94037.07 8035.59 4266.96
1519683957 3160213 1756330 0 3866338 3159992 1755974 221 3866694 88928.73 94036.44 8036.69 4266.58
1519683968 3160225 1756398 0 3866338 3160004 1756042 221 3866694 88929.25 94038.10 8036.28 4265.95
1519683978 3160236 1756463 0 3866338 3160015 1756107 221 3866694 88929.09 94038.60 8036.34 4265.89
1519683988 3160248 1756529 0 3866338 3160027 1756172 221 3866694 88927.71 94038.45 8037.71 4266.70
1519683998 3160261 1756595 0 3866338 3160039 1756239 221 3866694 88929.46 94038.84 8036.57 4264.75
1519684008 3160272 1756663 0 3866338 3160051 1756307 221 3866694 88930.00 94038.77 8036.02 4265.30
1519684018 3160283 1756729 0 3866338 3160062 1756373 221 3866694 88929.65 94036.46 8035.77 4267.55
1519684029 3160297 1756794 0 3866338 3160076 1756438 221 3866694 88929.91 94040.25 8035.52 4264.89
1519684039 3160307 1756859 0 3866338 3160086 1756503 221 3866694 88929.98 94036.65 8036.05 4268.49
1519684049 3160319 1756928 0 3866338 3160098 1756572 221 3866694 88930.62 94039.59 8034.30 4264.49
1519684059 3160330 1756995 0 3866338 3160109 1756639 221 3866694 88929.97 94037.21 8035.45 4266.86
1519684069 3160347 1757061 0 3866338 3160126 1756704 221 3866694 87865.35 94040.10 9111.58 4264.05
1519684079 3163854 1757125 0 3866338 3163633 1756769 221 3866694 78869.54 94037.36 18095.88 4266.23
1519684089 3163904 1757193 0 3866338 3163683 1756837 221 3866694 73824.58 94039.91 23140.84 4264.65
1519684100 3163917 1757261 0 3866338 3163695 1756905 221 3866694 73825.01 94039.05 23141.02 4264.07
1519684110 3163928 1757326 0 3866338 3163706 1756970 221 3866694 73825.04 94040.14 23140.38 4264.85
1519684120 3163939 1757392 0 3866338 3163718 1757036 221 3866694 73824.56 94039.95 23140.86 4264.09
1519684130 3163956 1757459 0 3866338 3163734 1757103 221 3866694 76858.95 94039.50 20119.07 4264.53
1519684140 3166229 1757527 0 3866338 3166008 1757171 221 3866694 78880.60 94034.89 18089.42 4269.23
1519684150 3166271 1757592 0 3866338 3166050 1757236 221 3866694 72303.94 94038.10 24662.09 4266.04
1519684160 3166282 1757658 0 3866338 3166061 1757301 221 3866694 72303.41 94037.06 24662.01 4266.48
1519684171 3166295 1757724 0 3866338 3166074 1757368 221 3866694 72303.08 94038.87 24661.85 4264.64
1519684181 3166307 1757791 0 3866338 3166086 1757435 221 3866694 72303.37 94038.53 24662.05 4265.58
1519684191 3166318 1757856 0 3866338 3166097 1757500 221 3866694 72303.38 94039.64 24662.04 4265.00
1519684201 3166332 1757923 0 3866338 3166111 1757566 221 3866694 72303.07 94039.53 24662.46 4263.56
1519684211 3166343 1757988 0 3866338 3166122 1757631 221 3866694 72303.75 94038.19 24661.67 4265.32
1519684221 3166355 1758053 0 3866338 3166134 1757696 221 3866694 72302.48 94037.46 24662.94 4266.05
1519684232 3167140 1758119 0 3866338 3166919 1757762 221 3866694 78757.29 94038.11 18212.13 4266.47
1519684242 3167180 1758184 0 3866338 3166959 1757828 221 3866694 72305.29 94036.92 24659.64 4267.21
1519684252 3167192 1758250 0 3866338 3166971 1757893 221 3866694 72304.66 94036.77 24660.76 4267.84
1519684262 3167206 1758315 0 3866338 3166985 1757959 221 3866694 72305.90 94039.27 24660.12 4265.29
1519684272 3167218 1758382 0 3866338 3166997 1758026 221 3866694 72306.14 94036.45 24659.39 4267.06
1519684282 3167229 1758449 0 3866338 3167008 1758093 221 3866694 72305.77 94037.02 24660.25 4267.50
1519684292 3167241 1758516 0 3866338 3167020 1758159 221 3866694 72305.45 94036.39 24659.97 4267.12
1519684303 3167252 1758583 0 3866338 3167031 1758226 221 3866694 72306.16 94038.33 24659.87 4265.18
1519684313 3167264 1758649 0 3866338 3167043 1758293 221 3866694 72305.32 94036.98 24660.10 4267.09
